0,1,2
,Tyus Jones,3.5
,DeMar DeRozan,3.5
,Kawhi Leonard,3.5
,Cameron Johnson,3.5
,Daniel Gafford,3.5
,Josh Hart,3.5
,Devin Vassell,3.5
,Nikola Vucevic,3.5
,Tobias Harris,3.5
,De'Anthony Melton,3.5
,Myles Turner,3.5
,Klay Thompson,3.5
,Jarrett Allen,3.5
