0,1,2
,Bones Hyland,3.5
,Jayson Tatum,3.5
,Keldon Johnson,3.5
,Anfernee Simons,3.5
,Brandon Ingram,3.5
,D'Angelo Russell,3.5
,Kelly Olynyk,3.5
,Josh Hart,3.5
,Saddiq Bey,3.5
,Trey Murphy,3.5
,Karl-Anthony Towns,3.5
,Russell Westbrook,3.5
,CJ McCollum,3.5
,James Harden,3.5
,Robert Williams,3.5
