0,1,2
,Devin Booker,2
,Mikal Bridges,2
,Jimmy Butler,2
,Kawhi Leonard,3
,Nikola Vucevic,2
,Matisse Thybulle,2
,Tobias Harris,2
,Alperen Sengun,2
,Mark Williams,2
,Malaki Branham,3
,Marcus Smart,2
,Kevin Love,2
,Luguentz Dort,2
O,Ivica Zubac,2
