0,1,2
,Tyrese Maxey,3.5
,Anthony Edwards,3.5
,Herbert Jones,3.5
,Jarred Vanderbilt,3.5
,Bam Adebayo,3.5
,Caleb Martin,3.5
,Jalen Smith,3.5
,Clint Capela,3.5
,John Collins,3.5
,Jaden McDaniels,3.5
,Tobias Harris,3.5
,Dorian Finney-Smith,3.5
,Patrick Williams,3.5
