0,1,2
,Shai Gilgeous-Alexander,3.5
,Kevin Huerter,3.5
,Tim Hardaway Jr.,3.5
,Pascal Siakam,3.5
,Bismack Biyombo,3.5
,Caris LeVert,3.5
,Jalen Williams,3.5
,Jordan Clarkson,3.5
,Jusuf Nurkic,3.5
,Lauri Markkanen,3.5
,Karl-Anthony Towns,3.5
,Gordon Hayward,3.5
,Jalen Johnson,3.5
