0,1,2
,Marcus Smart,3.5
,Shai Gilgeous-Alexander,3.5
,Saddiq Bey,3.5
,Pascal Siakam,3.5
,Bobby Portis,3.5
,Devin Vassell,3.5
,Lauri Markkanen,3.5
,Keldon Johnson,3.5
,Gary Trent Jr,3.5
,Kristaps Porzingis,3.5
,Kelly Oubre Jr,3.5
,Zach LaVine,3.5
,Keegan Murray,3.5
