0,1,2
,Tyrese Haliburton,1
,Andrew Wiggins,1
,Terrence Ross,1
,Mitchell Robinson,1
,Buddy Hield,1
,Norman Powell,1
,Christian Wood,1
,Deandre Ayton,1
,Joel Embiid,1
,Shai Gilgeous-Alexander,1
,Jimmy Butler,1
,John Collins,1
,Paul George,1
O,Kevin Love,1
