PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
26 2	Khris Middleton	SF,PF	MIL	67	31.1	0.473	7.4	15.7	0.56	0.904	3.5	3.9	2.25	2.5	1.11	20.8	1.22	6.5	0.60	4.5	1.11	1.1	0.42	0.1	-1.05	2.3	-0.85	5.38
27	Malcolm Brogdon	PG,SG	IND	62	33.8	0.454	7.7	17.0	-0.18	0.901	3.0	3.3	1.91	2.4	0.95	20.8	1.22	3.6	-0.56	7.1	2.57	1.4	1.19	0.2	-0.82	2.4	-0.96	5.33
28 8	Giannis Antetokounmpo	PF,C	MIL	69	30.8	0.537	10.1	18.7	3.64	0.664	6.5	9.7	-4.49	1.5	-0.08	28.0	2.36	12.8	3.18	5.5	1.71	1.0	0.15	1.0	1.00	3.7	-2.48	4.99
29 2	Chris Paul	PG	PHX	61	28.5	0.485	5.8	12.0	0.80	0.874	3.3	3.7	1.69	1.7	0.14	16.5	0.55	4.6	-0.15	6.4	2.21	1.5	1.32	0.2	-0.86	2.2	-0.76	4.94
30 2	Jimmy Butler	SF,PF	MIA	64	33.4	0.433	5.0	11.6	-0.71	0.836	6.8	8.1	2.38	0.7	-0.94	17.5	0.71	5.9	0.36	5.9	1.94	1.6	1.69	0.5	-0.05	2.2	-0.71	4.67
31 4	Mikal Bridges	SG,SF	PHX	69	31.6	0.499	5.2	10.4	1.07	0.877	2.1	2.4	1.11	2.5	1.14	15.1	0.32	4.5	-0.18	2.0	-0.27	1.1	0.37	1.0	0.98	1.5	0.08	4.63
32 2	Kyle Lowry	PG	TOR	60	33.9	0.412	5.4	13.0	-1.50	0.869	4.4	5.0	2.19	2.6	1.27	17.7	0.74	4.6	-0.15	7.2	2.66	1.4	1.27	0.4	-0.40	2.9	-1.61	4.48
33 8	Tobias Harris	SF,PF	PHI	70	34.5	0.477	7.8	16.3	0.75	0.802	2.4	3.0	0.40	2.0	0.51	19.9	1.09	6.8	0.74	3.2	0.42	1.0	0.12	0.6	0.14	1.4	0.19	4.37
34	DeMar DeRozan	SG,SF	SAS	70	33.6	0.486	7.4	15.2	1.04	0.845	4.5	5.4	1.76	0.9	-0.71	20.2	1.13	5.4	0.18	6.3	2.12	1.0	0.17	0.3	-0.58	2.4	-0.94	4.18
35 6	LeBron James	PG,SG,SF	LAL	59	32.1	0.492	9.1	18.4	1.51	0.691	4.0	5.8	-2.00	2.3	0.90	24.4	1.79	8.0	1.21	8.0	3.11	1.0	0.25	0.5	-0.14	3.7	-2.52	4.13
36 9	John Collins	PF,C	ATL	65	31.1	0.534	6.4	12.1	2.27	0.792	2.1	2.6	0.22	1.2	-0.33	16.2	0.49	7.8	1.16	1.6	-0.54	0.7	-0.45	1.1	1.28	1.7	-0.12	3.99
37 23	Mitchell Robinson	C	NYK	68	29.2	0.650	4.2	6.4	3.09	0.568	1.3	2.4	-2.13	0.0	-1.75	9.7	-0.52	8.9	1.57	0.6	-1.09	1.1	0.42	2.0	3.26	0.7	1.08	3.94
38 2	Fred VanVleet	PG,SG	TOR	67	35.6	0.412	6.1	14.8	-1.69	0.838	3.2	3.8	1.13	2.8	1.45	18.2	0.82	3.8	-0.46	6.8	2.45	1.6	1.61	0.3	-0.56	2.3	-0.84	3.93
39 1	Deandre Ayton	C	PHX	67	32.5	0.560	6.5	11.6	2.96	0.698	2.0	2.9	-0.94	0.2	-1.51	15.3	0.36	10.9	2.38	2.0	-0.29	0.6	-0.84	1.6	2.36	2.1	-0.56	3.91
40 9	Jaren Jackson Jr.	PF,C	MEM	58	30.1	0.469	6.8	14.4	0.39	0.725	2.5	3.5	-0.71	2.8	1.41	18.8	0.91	5.0	0.03	1.5	-0.58	0.8	-0.25	1.8	2.85	1.9	-0.36	3.69
41 4	Pascal Siakam	PF,C	TOR	67	37.1	0.437	6.6	15.0	-0.79	0.825	3.9	4.7	1.13	1.8	0.34	18.8	0.91	7.8	1.15	4.3	1.01	1.0	0.12	0.9	0.75	2.4	-1.01	3.63
42	Jaylen Brown	SG,SF	BOS	70	34.4	0.477	8.9	18.7	0.87	0.742	3.2	4.3	-0.53	2.4	1.00	23.4	1.64	5.6	0.26	3.0	0.28	1.3	0.99	0.5	-0.02	2.4	-1.00	3.48
43 4	Jamal Murray	PG,SG	DEN	68	33.8	0.456	7.1	15.6	-0.08	0.882	2.9	3.2	1.57	2.4	0.96	19.5	1.02	4.3	-0.27	5.1	1.45	1.2	0.57	0.3	-0.61	2.6	-1.19	3.42
44 8	Clint Capela	C	ATL	59	29.7	0.595	5.9	10.0	3.41	0.521	1.4	2.6	-2.86	0.0	-1.75	13.2	0.03	12.7	3.14	1.4	-0.64	0.8	-0.22	1.6	2.36	1.6	-0.07	3.39
45 6	Derrick White	PG,SG	SAS	56	29.1	0.467	4.7	10.0	0.25	0.838	3.2	3.8	1.13	1.5	-0.05	14.1	0.16	4.0	-0.41	4.3	1.03	1.0	0.25	1.1	1.17	1.7	-0.16	3.38
46	Domantas Sabonis	PF,C	IND	54	33.2	0.542	7.2	13.3	2.77	0.710	3.3	4.7	-1.24	0.7	-0.97	18.4	0.85	11.8	2.75	4.4	1.08	0.7	-0.65	0.5	-0.19	2.6	-1.27	3.13
47 16	T.J. Warren	SF,PF	IND	60	32.5	0.483	7.2	15.0	0.91	0.820	2.5	3.1	0.65	1.5	0.01	18.5	0.87	4.5	-0.19	1.9	-0.34	1.3	0.94	0.5	-0.12	1.3	0.34	3.09
48 9	Jonas Valanciunas	C	MEM	70	27.2	0.564	6.1	10.7	2.85	0.747	2.1	2.8	-0.30	0.5	-1.14	14.7	0.27	10.4	2.18	2.0	-0.28	0.4	-1.24	1.0	1.10	1.9	-0.38	3.03
49 1	Dejounte Murray	PG,SG	SAS	67	28.3	0.469	6.0	12.7	0.36	0.824	1.6	1.9	0.42	1.0	-0.63	14.5	0.23	6.4	0.59	4.5	1.15	1.8	2.16	0.3	-0.51	2.2	-0.76	3.01
50 7	D'Angelo Russell	PG,SG	MIN	67	31.3	0.429	7.1	16.6	-1.21	0.824	3.2	3.9	0.91	3.4	2.15	20.9	1.24	3.6	-0.55	6.1	2.01	1.2	0.60	0.3	-0.61	2.9	-1.62	2.91
51 11	Victor Oladipo	SG,SF	HOU	60	33.7	0.453	8.0	17.7	-0.22	0.825	3.1	3.7	0.88	2.2	0.72	21.3	1.30	5.1	0.06	4.6	1.20	1.5	1.51	0.3	-0.70	3.2	-1.89	2.85
52 8	Brandon Ingram	SF,PF	NOP	64	33.4	0.464	7.1	15.4	0.22	0.805	4.2	5.2	0.80	2.6	1.27	21.1	1.28	4.9	-0.01	3.5	0.55	1.0	0.17	0.7	0.23	3.0	-1.67	2.84
53 22	Richaun Holmes	PF,C	SAC	67	25.3	0.628	4.6	7.2	3.10	0.776	1.9	2.4	0.03	0.0	-1.75	11.0	-0.32	7.2	0.91	0.9	-0.91	0.8	-0.30	1.2	1.42	1.1	0.61	2.80
54 15	Al Horford	PF,C	OKL	62	30.2	0.473	5.0	10.5	0.41	0.805	1.0	1.2	0.15	1.3	-0.31	12.2	-0.13	7.2	0.90	4.0	0.83	0.8	-0.30	0.9	0.86	1.3	0.31	2.74
55 22	Trae Young	PG	ATL	68	33.1	0.408	7.6	18.6	-2.35	0.865	8.2	9.5	3.97	2.0	0.58	25.4	1.95	3.5	-0.59	9.0	3.70	0.7	-0.55	0.1	-1.05	4.0	-2.94	2.72
56 6	Rudy Gobert	C	UTA	67	32.8	0.607	5.1	8.3	3.11	0.552	3.1	5.6	-5.35	0.0	-1.75	13.2	0.03	13.7	3.53	1.5	-0.55	0.7	-0.52	2.5	4.57	1.9	-0.42	2.64
57 4	Jusuf Nurkic	C	POR	36	28.8	0.474	5.3	11.1	0.45	0.706	2.4	3.4	-0.98	0.4	-1.32	13.3	0.04	10.1	2.08	3.3	0.46	1.1	0.52	1.3	1.84	2.0	-0.49	2.61
58 13	LaMarcus Aldridge	PF,C	SAS	58	27.9	0.478	6.2	13.0	0.66	0.834	2.6	3.1	0.84	1.2	-0.39	16.1	0.49	6.3	0.55	2.1	-0.25	0.5	-1.14	1.2	1.59	1.4	0.23	2.57
