PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
111 25	Darius Garland	PG	CLE	70	31.6	0.448	6.0	13.3	-0.32	0.879	1.6	1.8	0.84	2.3	0.92	15.9	0.45	2.1	-1.16	6.1	2.02	1.0	0.17	0.1	-1.03	2.9	-1.62	0.28
112 44	John Wall	PG	HOU	55	30.1	0.447	7.8	17.5	-0.52	0.733	2.9	4.0	-0.66	1.7	0.17	20.3	1.14	3.5	-0.59	7.8	2.97	1.2	0.65	0.6	0.14	4.1	-3.03	0.27
113 22	LaMelo Ball	PG,SG	CHA	65	28.4	0.411	4.9	12.0	-1.39	0.727	1.8	2.4	-0.48	1.6	0.11	13.3	0.04	6.4	0.59	6.1	2.06	1.5	1.54	0.2	-0.79	2.8	-1.42	0.25
114 4	Patrick Beverley	PG,SG	LAC	60	26.9	0.432	3.0	7.0	-0.41	0.670	0.6	0.9	-0.45	1.7	0.16	8.4	-0.73	5.4	0.19	3.8	0.71	1.2	0.57	0.5	-0.07	1.4	0.26	0.23
115 2	Delon Wright	SG,SF	DET	68	27.8	0.421	3.0	7.2	-0.63	0.786	1.4	1.8	0.09	0.9	-0.73	8.4	-0.73	5.1	0.06	4.1	0.92	1.5	1.32	0.4	-0.30	1.4	0.18	0.18
116 4	Paul Millsap	PF,C	DEN	60	24.1	0.477	4.1	8.5	0.43	0.811	2.3	2.8	0.48	1.1	-0.50	11.5	-0.24	5.6	0.27	1.6	-0.52	0.9	-0.07	0.6	0.09	1.4	0.24	0.16
117 10	Danilo Gallinari	SF,PF	ATL	58	25.2	0.445	4.0	9.1	-0.26	0.897	3.3	3.7	2.03	2.2	0.79	13.6	0.09	3.8	-0.46	1.5	-0.59	0.5	-0.99	0.1	-1.07	1.1	0.58	0.12
118 2	Donte DiVincenzo	PG,SG	MIL	68	25.2	0.454	3.8	8.4	-0.06	0.748	1.1	1.5	-0.18	1.4	-0.13	10.2	-0.44	5.3	0.12	2.5	0.01	1.4	1.24	0.3	-0.51	1.5	0.06	0.11
119 22	Derrick Jones Jr.	SG,SF	POR	54	27.4	0.470	3.7	7.8	0.27	0.761	1.9	2.5	-0.12	0.7	-0.94	9.9	-0.49	4.6	-0.15	1.3	-0.68	1.2	0.62	0.7	0.37	0.6	1.19	0.07
120 18	Derrick Rose	PG,SG	DET	64	25.5	0.478	7.1	14.9	0.74	0.856	2.3	2.7	0.99	0.9	-0.72	17.4	0.69	2.3	-1.07	4.9	1.36	0.8	-0.30	0.3	-0.54	2.5	-1.12	0.03
121 10	Brandon Clarke	SF,PF	MEM	68	23.2	0.499	4.6	9.2	0.96	0.764	1.6	2.0	-0.09	0.4	-1.32	11.1	-0.30	6.2	0.50	1.4	-0.60	0.6	-0.74	1.0	0.98	1.1	0.62	0.01
122 3	Kelly Olynyk	PF,C	MIA	63	22.8	0.457	3.2	7.0	0.02	0.871	1.6	1.8	0.76	1.7	0.15	9.6	-0.54	5.5	0.20	2.0	-0.28	0.8	-0.20	0.4	-0.44	1.3	0.34	0.00
123 1	Jordan Clarkson	PG,SG	UTA	67	24.7	0.447	5.2	11.7	-0.32	0.866	2.7	3.1	1.30	2.1	0.64	15.2	0.35	2.5	-1.00	2.5	0.00	0.6	-0.72	0.3	-0.56	1.4	0.26	-0.05
124 2	Will Barton	SG,SF	DEN	68	27.5	0.443	4.7	10.6	-0.39	0.770	1.5	1.9	-0.04	1.6	0.09	12.5	-0.08	5.2	0.08	2.9	0.23	0.9	-0.02	0.5	-0.23	1.3	0.31	-0.06
125 2	Michael Carter-Williams	PG,SG	ORL	58	21.8	0.432	3.0	7.0	-0.41	0.858	2.2	2.5	0.96	0.6	-1.05	8.8	-0.66	3.9	-0.44	2.9	0.23	1.3	0.99	0.6	0.14	1.5	0.16	-0.09
126 6	Seth Curry	PG,SG	PHI	67	26.7	0.484	4.9	10.2	0.67	0.806	1.4	1.7	0.23	2.6	1.24	13.9	0.13	2.4	-1.04	2.0	-0.28	0.7	-0.62	0.1	-1.00	1.2	0.44	-0.22
127 12	P.J. Tucker	PF,C	HOU	71	34.7	0.424	2.5	6.0	-0.47	0.757	0.6	0.7	-0.09	1.5	-0.01	7.1	-0.93	6.7	0.69	1.6	-0.50	1.1	0.47	0.5	-0.09	1.0	0.68	-0.23
128 9	Tyler Herro	PG,SG,SF	MIA	64	31.2	0.426	5.6	13.2	-1.05	0.876	1.8	2.1	0.95	2.5	1.16	15.7	0.42	4.7	-0.11	2.5	0.02	0.7	-0.57	0.2	-0.75	1.8	-0.31	-0.25
129 1	Bobby Portis	PF,C	MIL	64	26.1	0.493	4.5	9.1	0.82	0.791	1.4	1.7	0.12	1.2	-0.34	11.6	-0.23	6.5	0.61	1.9	-0.37	0.6	-0.74	0.4	-0.40	1.4	0.26	-0.26
130 19	Royce O'Neale	SF,PF	UTA	70	28.2	0.455	2.4	5.3	0.00	0.756	0.6	0.8	-0.09	1.3	-0.30	6.7	-1.00	5.4	0.16	2.4	-0.03	1.0	0.25	0.5	-0.14	1.0	0.71	-0.44
131 12	Tyus Jones	PG	MEM	68	25.1	0.455	3.9	8.6	-0.03	0.778	0.9	1.2	0.00	0.9	-0.71	9.7	-0.52	2.0	-1.22	5.8	1.84	1.2	0.62	0.1	-0.98	1.2	0.49	-0.51
132 28	Mo Bamba	C	ORL	63	17.6	0.457	2.6	5.7	0.02	0.626	0.6	1.0	-0.67	0.9	-0.76	6.7	-1.00	6.0	0.43	0.9	-0.93	0.5	-1.07	1.7	2.57	0.9	0.86	-0.53
133 4	De'Anthony Melton	PG,SG	MEM	68	24.2	0.409	3.4	8.2	-0.97	0.790	2.0	2.5	0.19	0.9	-0.73	9.6	-0.54	4.5	-0.18	3.6	0.59	1.6	1.66	0.4	-0.42	1.7	-0.16	-0.54
134 28	Danuel House Jr.	SF,PF	HOU	58	28.9	0.430	3.5	8.2	-0.53	0.770	1.1	1.5	-0.03	1.9	0.42	10.1	-0.46	4.0	-0.40	1.2	-0.71	1.1	0.32	0.5	-0.16	0.8	0.98	-0.57
135 1	Miles Bridges	SF,PF	CHA	70	28.4	0.452	5.1	11.3	-0.15	0.779	1.5	1.9	0.04	1.4	-0.15	13.1	0.01	5.3	0.14	1.7	-0.47	0.6	-0.77	0.8	0.65	1.5	0.12	-0.58
136 15	Coby White	PG,SG	CHI	70	32.1	0.414	6.3	15.1	-1.67	0.807	2.0	2.5	0.38	2.7	1.35	17.2	0.66	4.4	-0.23	3.4	0.51	1.0	0.20	0.1	-1.05	2.2	-0.77	-0.61
137 22	Dorian Finney-Smith	SF,PF	DAL	70	26.1	0.459	3.2	7.0	0.06	0.736	1.1	1.4	-0.25	1.6	0.02	9.0	-0.63	5.3	0.15	1.6	-0.50	0.8	-0.37	0.6	0.16	1.0	0.74	-0.61
138 1	Montrezl Harrell	PF,C	LAL	64	26.1	0.585	5.3	9.0	2.87	0.661	3.3	5.0	-2.39	0.0	-1.75	13.9	0.13	7.3	0.95	1.5	-0.55	0.5	-0.97	1.0	1.00	1.5	0.07	-0.63
139 1	Cody Zeller	C	CHA	42	26.1	0.506	4.6	9.1	1.11	0.714	2.2	3.1	-0.79	0.4	-1.28	11.9	-0.18	6.9	0.78	1.7	-0.45	0.8	-0.30	0.7	0.37	1.5	0.08	-0.65
140 6	Tim Hardaway Jr.	SG,SF	DAL	67	29.6	0.436	5.5	12.5	-0.69	0.808	2.1	2.6	0.41	2.9	1.58	15.9	0.46	3.4	-0.65	1.9	-0.33	0.6	-0.77	0.1	-1.03	1.3	0.32	-0.69
141 22	Patty Mills	PG	SAS	60	20.4	0.457	3.7	8.1	0.00	0.880	1.7	1.9	0.89	2.4	0.97	11.4	-0.25	1.8	-1.28	2.0	-0.28	0.7	-0.57	0.1	-1.00	0.9	0.83	-0.69
142 5	Norman Powell	SG,SF	TOR	55	25.4	0.425	4.0	9.5	-0.75	0.846	2.2	2.6	0.84	1.9	0.42	12.1	-0.14	3.2	-0.73	1.6	-0.52	1.1	0.32	0.4	-0.47	1.3	0.31	-0.70
143 5	Gary Trent Jr.	SG,SF	POR	64	26.4	0.453	4.3	9.5	-0.11	0.794	0.8	1.0	0.07	2.4	1.02	11.8	-0.19	2.0	-1.20	1.2	-0.72	1.1	0.52	0.4	-0.42	1.3	0.32	-0.70
144 12	George Hill	PG,SG	OKL	64	23.1	0.442	3.4	7.7	-0.27	0.827	1.6	2.0	0.46	1.6	0.10	10.0	-0.47	3.5	-0.61	3.6	0.60	0.9	0.00	0.1	-1.03	1.2	0.52	-0.71
145 10	Marvin Bagley III	PF,C	SAC	58	28.6	0.457	5.5	12.1	-0.02	0.756	2.0	2.6	-0.19	0.8	-0.79	13.8	0.13	8.1	1.26	0.9	-0.92	0.6	-0.92	0.9	0.82	1.7	-0.08	-0.72
146 18	James Wiseman	C	GSW	65	24.2	0.517	4.9	9.4	1.39	0.695	1.8	2.6	-0.89	0.0	-1.75	11.5	-0.23	7.1	0.87	0.3	-1.24	0.3	-1.61	1.4	1.96	0.9	0.77	-0.75
147 13	DeAndre Jordan	C	BRO	64	27.8	0.679	3.2	4.7	2.62	0.542	1.5	2.7	-2.74	0.0	-1.75	7.8	-0.81	10.5	2.24	2.2	-0.18	0.4	-1.37	1.2	1.40	1.7	-0.17	-0.75
148 6	Trevor Ariza	SG,SF	OKL	58	24.8	0.440	2.4	5.5	-0.21	0.881	0.7	0.8	0.37	1.7	0.16	7.2	-0.91	4.8	-0.05	1.7	-0.46	1.2	0.74	0.2	-0.79	1.3	0.35	-0.81
149 17	Naz Reid	C	MIN	58	21.5	0.417	4.4	10.6	-1.06	0.716	1.6	2.2	-0.55	1.5	-0.08	11.9	-0.17	5.4	0.19	1.6	-0.51	0.8	-0.32	0.9	0.89	0.9	0.78	-0.85
150 17	PJ Washington	SF,PF	CHA	70	32.4	0.444	4.5	10.1	-0.33	0.676	1.9	2.8	-1.16	1.5	-0.06	12.3	-0.11	6.1	0.47	2.3	-0.11	1.0	0.10	0.9	0.72	1.9	-0.40	-0.87
151	Jae'Sean Tate	SG	HOU	64	27.1	0.525	3.3	6.3	1.09	0.733	1.3	1.8	-0.32	0.8	-0.82	8.8	-0.67	4.5	-0.17	1.8	-0.38	0.8	-0.42	0.8	0.63	1.4	0.19	-0.88
152	Gary Harris	SG,SF	DEN	67	31.4	0.422	4.3	10.2	-0.89	0.820	1.4	1.7	0.34	1.4	-0.10	11.5	-0.24	3.1	-0.75	2.2	-0.15	1.4	1.24	0.3	-0.56	1.4	0.20	-0.90
153 17	Ivica Zubac	C	LAC	68	20.1	0.580	3.6	6.1	1.90	0.738	1.8	2.5	-0.38	0.0	-1.75	9.0	-0.64	7.0	0.83	1.2	-0.74	0.2	-1.74	0.9	0.79	1.0	0.76	-0.97
154 12	Moritz Wagner	PF,C	WAS	58	22.4	0.535	3.5	6.5	1.29	0.807	2.0	2.5	0.38	0.7	-0.94	9.7	-0.53	5.7	0.29	1.4	-0.61	0.7	-0.52	0.5	-0.16	1.8	-0.23	-1.03
155 21	Danny Green	SG,SF	PHI	70	24.9	0.414	2.9	7.0	-0.73	0.714	0.5	0.7	-0.21	1.9	0.43	8.2	-0.75	3.4	-0.63	1.3	-0.67	1.2	0.70	0.6	0.00	0.9	0.82	-1.06
156 28	Kevin Porter Jr.	SG,SF	CLE	64	27.9	0.454	5.0	11.1	-0.10	0.754	2.1	2.7	-0.22	1.8	0.26	13.9	0.13	4.3	-0.27	2.7	0.12	1.1	0.35	0.4	-0.33	2.4	-1.02	-1.07
157 11	Marc Gasol	C	LAL	60	21.7	0.428	2.4	5.5	-0.36	0.729	0.7	1.0	-0.21	1.1	-0.45	6.6	-1.01	5.4	0.19	2.9	0.22	0.7	-0.55	0.8	0.56	1.1	0.53	-1.09
158 13	Joe Ingles	SG,SF	UTA	68	27.6	0.441	3.2	7.2	-0.26	0.769	0.9	1.2	-0.05	1.9	0.38	9.1	-0.61	3.6	-0.55	4.8	1.32	0.8	-0.20	0.2	-0.84	1.9	-0.34	-1.15
159 23	Derrick Favors	PF,C	UTA	60	18.6	0.620	3.2	5.1	2.10	0.574	0.6	1.1	-0.97	0.0	-1.75	7.0	-0.95	7.2	0.88	1.2	-0.71	0.5	-1.14	0.8	0.51	0.9	0.88	-1.15
160 3	Nicolas Batum	SF,PF	LAC	50	24.4	0.435	3.1	7.0	-0.37	0.833	0.6	0.7	0.14	1.9	0.43	8.6	-0.70	3.9	-0.42	2.3	-0.11	0.9	-0.05	0.6	0.00	1.7	-0.10	-1.18
161 21	Elfrid Payton	PG	NYK	67	27.2	0.448	4.8	10.6	-0.24	0.686	1.3	1.9	-0.73	0.5	-1.21	11.3	-0.28	4.2	-0.31	6.4	2.18	1.1	0.32	0.4	-0.35	2.1	-0.60	-1.21
162 15	Josh Hart	SG,SF	NOP	65	25.3	0.426	3.3	7.8	-0.59	0.724	1.2	1.7	-0.38	1.8	0.30	9.6	-0.53	5.6	0.23	1.6	-0.50	0.9	0.05	0.4	-0.40	1.1	0.53	-1.29
163 4	Josh Okogie	SG,SF	MIN	68	25.3	0.438	3.0	6.8	-0.31	0.802	2.5	3.1	0.42	0.9	-0.71	9.4	-0.57	4.3	-0.26	1.6	-0.50	1.2	0.77	0.4	-0.35	1.4	0.20	-1.31
164 19	Luguentz Dort	SG,SF	OKL	70	30.1	0.426	4.2	9.9	-0.77	0.788	1.6	2.0	0.12	1.7	0.14	11.7	-0.21	3.0	-0.80	1.1	-0.82	1.2	0.62	0.4	-0.28	1.0	0.67	-1.33
165	Joe Harris	SG,SF	BRO	70	30.2	0.479	5.0	10.5	0.56	0.731	0.9	1.2	-0.24	2.4	1.01	13.3	0.05	3.7	-0.53	1.6	-0.49	0.5	-0.97	0.2	-0.82	1.5	0.05	-1.38
166 26	Monte Morris	PG,SG	DEN	67	22.7	0.461	3.8	8.2	0.10	0.832	1.0	1.3	0.30	0.9	-0.68	9.5	-0.55	1.9	-1.25	3.7	0.66	0.8	-0.20	0.2	-0.79	0.7	1.02	-1.39
167 66	Russell Westbrook	PG	WAS	56	35.8	0.421	8.1	19.3	-1.81	0.636	4.1	6.4	-3.79	0.9	-0.69	21.2	1.30	9.4	1.78	9.5	3.95	1.5	1.41	0.4	-0.42	4.2	-3.13	-1.40
168 5	Svi Mykhailiuk	SF	DET	67	26.8	0.427	3.9	9.1	-0.68	0.816	1.2	1.5	0.27	2.5	1.16	11.5	-0.23	2.4	-1.04	2.4	-0.06	0.9	-0.07	0.1	-0.98	1.4	0.23	-1.40
169 19	Blake Griffin	PF,C	DET	58	32.4	0.394	4.2	10.7	-1.69	0.739	2.3	3.1	-0.45	2.4	0.95	13.1	0.01	6.5	0.63	4.0	0.83	0.8	-0.42	0.2	-0.72	2.1	-0.58	-1.45
170 8	Dario Saric	PF,C	PHX	60	22.1	0.477	3.5	7.3	0.37	0.840	1.4	1.7	0.49	1.4	-0.15	9.8	-0.51	5.5	0.22	1.7	-0.46	0.5	-0.94	0.2	-0.82	1.3	0.32	-1.47
171 18	Kevon Looney	PF,C	GSW	64	18.7	0.520	2.9	5.6	0.91	0.719	0.7	1.0	-0.26	0.0	-1.75	6.6	-1.02	5.5	0.20	1.7	-0.44	1.0	0.30	0.5	-0.07	1.0	0.65	-1.47
172 50	Caris LeVert	SG,SF	IND	38	33.2	0.425	7.0	16.4	-1.35	0.728	2.9	4.0	-0.75	1.8	0.27	18.6	0.88	3.9	-0.45	4.1	0.88	1.2	0.62	0.7	0.26	3.1	-1.83	-1.48
173 15	DeMarcus Cousins	PF,C	HOU	30	19.2	0.487	2.9	6.0	0.47	0.721	2.3	3.2	-0.71	0.9	-0.78	9.0	-0.63	5.7	0.29	1.7	-0.44	0.8	-0.32	1.0	1.07	2.0	-0.44	-1.48
174	Kelly Oubre Jr.	SF,PF	GSW	64	31.6	0.390	5.1	13.0	-2.18	0.771	3.0	3.9	0.01	1.5	-0.06	14.5	0.24	5.0	0.02	1.3	-0.67	1.2	0.60	0.7	0.40	1.5	0.14	-1.50
175 31	Cole Anthony	PG	ORL	64	29.6	0.409	4.7	11.5	-1.39	0.776	1.9	2.5	0.04	2.2	0.71	13.5	0.08	4.7	-0.13	5.0	1.41	0.8	-0.22	0.1	-1.14	2.3	-0.90	-1.55
176 11	Kevin Huerter	SG,SF	ATL	67	26.2	0.417	3.8	9.0	-0.88	0.825	0.8	1.0	0.19	2.0	0.48	10.3	-0.43	2.7	-0.93	3.1	0.32	0.8	-0.40	0.4	-0.30	1.3	0.32	-1.63
177 2	Tristan Thompson	PF,C	BOS	64	24.4	0.520	4.2	8.0	1.26	0.605	1.4	2.3	-1.68	0.2	-1.57	9.8	-0.50	8.3	1.35	1.7	-0.45	0.5	-1.07	0.9	0.89	1.5	0.13	-1.63
178 7	Jarred Vanderbilt	SF	MIN	29	16.2	0.508	3.0	5.9	0.76	0.661	0.8	1.2	-0.62	0.0	-1.75	6.8	-0.98	6.6	0.66	1.5	-0.59	1.1	0.32	0.7	0.28	1.4	0.26	-1.66
179 21	Gorgui Dieng	PF,C	MEM	58	13.7	0.498	2.4	4.9	0.53	0.771	0.8	1.1	-0.03	0.8	-0.82	6.5	-1.03	4.5	-0.17	1.1	-0.82	0.7	-0.67	0.7	0.42	0.8	0.92	-1.68
180 25	Dwight Powell	PF,C	DAL	68	22.8	0.623	3.0	4.9	2.03	0.662	1.6	2.4	-1.15	0.2	-1.50	7.8	-0.82	4.8	-0.07	1.3	-0.67	0.7	-0.45	0.5	-0.09	0.8	0.98	-1.73
181 3	Shake Milton	PG,SG	PHI	60	24.7	0.453	4.0	8.9	-0.08	0.797	1.6	2.0	0.20	1.7	0.23	11.3	-0.27	2.7	-0.91	3.2	0.40	0.6	-0.74	0.3	-0.70	1.5	0.12	-1.75
182 27	Goran Dragic	PG,SG	MIA	48	26.5	0.439	5.1	11.6	-0.55	0.762	3.0	4.0	-0.15	2.0	0.50	15.1	0.33	3.0	-0.79	4.8	1.29	0.7	-0.65	0.2	-0.84	2.4	-0.92	-1.77
183 11	Ricky Rubio	PG	MIN	64	26.4	0.415	3.0	7.1	-0.74	0.856	2.0	2.4	0.86	0.8	-0.82	8.8	-0.67	2.9	-0.85	5.3	1.56	1.0	0.12	0.1	-0.96	1.8	-0.29	-1.77
184 7	Cameron Johnson	SF,PF	PHX	64	24.2	0.437	3.4	7.8	-0.38	0.800	0.9	1.1	0.11	2.1	0.66	9.8	-0.50	3.5	-0.59	1.3	-0.67	0.7	-0.65	0.4	-0.26	1.2	0.49	-1.78
185 14	Cam Reddish	SF,PF	ATL	68	27.3	0.418	4.5	10.7	-1.04	0.802	2.0	2.5	0.33	1.7	0.21	12.6	-0.06	3.5	-0.59	1.3	-0.66	1.1	0.40	0.5	-0.02	1.9	-0.36	-1.81
186 26	Hassan Whiteside	PF,C	SAC	60	15.8	0.600	2.9	4.8	1.74	0.671	1.0	1.5	-0.67	0.0	-1.70	6.8	-0.98	5.7	0.30	0.5	-1.14	0.2	-1.89	1.2	1.47	0.7	1.02	-1.86
187 20	Nerlens Noel	PF,C	NYK	65	16.0	0.552	2.0	3.7	0.91	0.711	1.1	1.5	-0.43	0.0	-1.75	5.1	-1.24	4.1	-0.36	0.8	-0.99	0.8	-0.22	1.2	1.40	0.9	0.79	-1.90
188 27	Kyle Anderson	SF,PF	MEM	63	26.2	0.451	5.2	11.5	-0.19	0.667	1.2	1.8	-0.85	0.6	-1.08	12.1	-0.14	6.4	0.59	3.5	0.54	0.8	-0.22	0.7	0.37	2.4	-0.94	-1.91
189 14	Tomas Satoransky	PG,SG	CHI	67	24.6	0.436	3.2	7.4	-0.38	0.829	1.4	1.7	0.41	1.0	-0.59	8.8	-0.66	3.3	-0.69	4.0	0.85	1.1	0.47	0.1	-1.00	1.9	-0.32	-1.91
190 3	Jabari Parker	SF,PF	SAC	50	17.1	0.504	4.1	8.0	0.95	0.760	1.1	1.5	-0.10	0.7	-1.01	9.9	-0.50	4.4	-0.23	1.2	-0.75	0.9	-0.17	0.3	-0.51	1.2	0.41	-1.91
191 18	Daniel Gafford	C	CHI	56	15.5	0.668	2.8	4.2	2.22	0.556	0.9	1.6	-1.54	0.0	-1.75	6.5	-1.03	4.7	-0.10	0.6	-1.07	0.4	-1.41	1.4	1.94	0.9	0.82	-1.94
192 39	Devonte' Graham	PG,SG	CHA	70	30.6	0.354	4.0	11.2	-2.89	0.825	2.5	3.0	0.71	2.2	0.81	12.7	-0.05	2.9	-0.82	6.0	1.97	1.1	0.37	0.2	-0.86	2.6	-1.19	-1.95
193 7	Dillon Brooks	SG,SF	MEM	70	28.7	0.411	6.0	14.5	-1.68	0.788	2.2	2.8	0.19	2.0	0.51	16.1	0.48	3.3	-0.69	2.1	-0.23	0.9	-0.05	0.4	-0.37	1.7	-0.13	-1.96
194 17	Marquese Chriss	PF,C	GSW	44	14.4	0.555	2.6	4.7	1.17	0.770	1.4	1.9	-0.03	0.1	-1.61	6.7	-0.99	4.5	-0.21	1.4	-0.64	0.5	-1.04	0.8	0.56	0.9	0.78	-2.01
195 13	Luke Kennard	SG,SF	LAC	50	22.9	0.443	3.7	8.5	-0.30	0.893	1.7	1.9	0.98	1.8	0.31	11.0	-0.32	2.5	-1.00	2.8	0.19	0.3	-1.59	0.1	-0.96	1.0	0.65	-2.04
196 20	Jordan McLaughlin	PG	MIN	30	18.4	0.492	2.7	5.6	0.51	0.691	0.9	1.2	-0.47	0.9	-0.68	7.3	-0.90	1.5	-1.40	4.0	0.83	1.0	0.30	0.1	-1.07	0.9	0.77	-2.11
197 5	Vincent Poirier	C	OKL	54	19.1	0.486	2.5	5.2	0.41	0.774	1.0	1.2	-0.02	0.0	-1.75	6.0	-1.11	6.3	0.53	1.2	-0.71	0.3	-1.49	1.2	1.61	1.2	0.41	-2.12
198 1	Thaddeus Young	PF	CHI	67	20.7	0.463	3.7	7.9	0.12	0.629	0.6	1.0	-0.64	1.1	-0.48	9.0	-0.63	4.2	-0.30	1.5	-0.57	1.2	0.65	0.3	-0.49	1.4	0.22	-2.12
199 20	JaMychal Green	PF,C	DEN	67	20.5	0.465	2.6	5.6	0.14	0.778	0.6	0.8	-0.01	1.5	-0.05	7.3	-0.90	6.0	0.43	0.8	-0.97	0.4	-1.29	0.4	-0.35	0.9	0.83	-2.17
200 31	Andrew Wiggins	SG,SF	GSW	67	32.8	0.431	6.0	14.0	-0.95	0.715	3.2	4.5	-1.11	1.7	0.16	17.0	0.62	4.1	-0.36	3.1	0.34	0.7	-0.67	0.8	0.65	2.3	-0.88	-2.18
201 3	Payton Pritchard	PG	BOS	52	22.1	0.456	3.2	7.0	0.00	0.861	1.0	1.2	0.42	1.5	-0.07	8.9	-0.65	1.9	-1.26	2.7	0.11	1.1	0.35	0.0	-1.24	1.5	0.16	-2.19
202 8	Jeff Teague	PG,SG	BOS	64	19.4	0.443	3.0	6.7	-0.21	0.876	2.6	3.0	1.36	0.7	-0.98	9.3	-0.59	1.8	-1.29	4.3	1.03	0.5	-0.97	0.3	-0.58	1.6	0.01	-2.22
203 23	Dennis Schroder	PG	LAL	67	28.9	0.421	5.1	12.0	-1.08	0.832	2.5	3.0	0.81	1.6	0.08	14.3	0.20	3.0	-0.78	4.0	0.87	0.6	-0.82	0.2	-0.89	2.1	-0.64	-2.25
204 5	Obi Toppin	SF,PF	NYK	67	25.4	0.481	5.0	10.4	0.61	0.700	1.8	2.5	-0.80	0.8	-0.79	12.6	-0.07	5.3	0.12	0.8	-0.94	0.6	-0.84	0.7	0.35	1.5	0.11	-2.25
205 19	James Ennis III	SG,SF	ORL	64	23.1	0.455	3.0	6.6	-0.01	0.777	1.5	1.9	0.02	1.2	-0.41	8.6	-0.69	4.5	-0.18	1.2	-0.75	0.6	-0.84	0.4	-0.26	0.9	0.84	-2.28
206 25	Anthony Edwards	SG	MIN	64	28.2	0.413	6.0	14.6	-1.63	0.780	2.2	2.8	0.10	1.7	0.16	15.9	0.45	3.9	-0.43	2.2	-0.19	1.2	0.72	0.2	-0.79	2.2	-0.68	-2.29
207 16	Jaxson Hayes	C	NOP	67	19.4	0.659	3.0	4.6	2.35	0.632	2.1	3.4	-2.06	0.0	-1.75	8.2	-0.76	4.7	-0.11	1.0	-0.84	0.5	-1.09	1.0	1.14	0.9	0.82	-2.30
208 13	Robin Lopez	C	WAS	60	24.4	0.490	3.7	7.5	0.62	0.682	1.0	1.5	-0.61	0.8	-0.80	9.1	-0.61	5.0	0.00	1.2	-0.76	0.3	-1.46	1.2	1.40	1.7	-0.08	-2.31
209 8	Josh Jackson	SG,SF	DET	56	20.6	0.445	3.7	8.3	-0.25	0.731	1.9	2.5	-0.46	1.2	-0.42	10.4	-0.41	3.5	-0.61	1.9	-0.37	1.0	0.30	0.5	-0.21	1.5	0.10	-2.33
210	Carmelo Anthony	SF,PF	POR	64	27.0	0.429	4.6	10.7	-0.76	0.820	1.8	2.2	0.46	1.2	-0.40	12.2	-0.13	5.0	0.01	1.2	-0.75	0.6	-0.70	0.4	-0.37	1.3	0.29	-2.34
211 21	Austin Rivers	PG,SG	NYK	64	23.9	0.431	4.2	9.8	-0.64	0.719	1.2	1.6	-0.40	2.0	0.48	11.6	-0.23	2.7	-0.91	1.8	-0.41	0.7	-0.47	0.2	-0.79	0.7	1.02	-2.36
212 6	Juancho Hernangomez	PF,C	MIN	60	25.4	0.447	3.6	8.1	-0.19	0.717	1.5	2.1	-0.51	1.4	-0.13	10.1	-0.46	8.2	1.31	1.8	-0.42	0.3	-1.54	0.3	-0.58	1.5	0.13	-2.38
213 1	Andre Iguodala	SG,SF	MIA	58	19.5	0.451	1.9	4.1	-0.02	0.686	0.5	0.7	-0.30	0.7	-0.96	4.9	-1.28	3.6	-0.54	2.4	-0.08	0.7	-0.57	1.0	1.00	1.3	0.37	-2.38
214 8	James Johnson	PF,C	DAL	60	20.7	0.459	3.0	6.5	0.06	0.649	0.6	1.0	-0.55	1.2	-0.35	7.8	-0.82	3.8	-0.47	1.6	-0.49	0.4	-1.29	1.0	0.93	1.1	0.60	-2.39
215 2	Jeff Green	SF,PF,C	BRO	64	25.2	0.487	3.1	6.3	0.49	0.766	1.2	1.6	-0.06	1.5	0.00	8.8	-0.66	3.7	-0.50	1.0	-0.86	0.6	-0.92	0.4	-0.30	1.3	0.40	-2.42
216 13	Eric Paschall	SF,PF	GSW	68	25.8	0.485	5.1	10.5	0.72	0.772	2.6	3.4	0.01	0.7	-0.93	13.5	0.08	4.5	-0.19	2.1	-0.25	0.5	-1.07	0.2	-0.82	1.6	0.01	-2.43
217 4	Aaron Holiday	PG	IND	67	22.2	0.439	3.4	7.6	-0.33	0.846	1.0	1.2	0.35	1.3	-0.32	9.0	-0.64	2.1	-1.17	3.1	0.31	0.7	-0.50	0.3	-0.65	1.2	0.49	-2.45
218 2	Terence Davis	SG,SF	TOR	64	18.1	0.459	3.2	6.9	0.06	0.878	0.8	0.9	0.39	1.5	-0.08	8.6	-0.70	3.7	-0.51	1.8	-0.40	0.6	-0.89	0.2	-0.77	1.2	0.41	-2.50
219 6	Jalen Brunson	PG,SG	DAL	62	19.5	0.469	3.7	7.9	0.25	0.809	1.3	1.6	0.24	1.1	-0.49	9.8	-0.50	2.6	-0.95	3.8	0.71	0.6	-0.92	0.1	-1.03	1.4	0.18	-2.51
220 17	Furkan Korkmaz	SG,SF	PHI	67	22.1	0.436	3.5	7.9	-0.41	0.783	1.1	1.4	0.05	2.2	0.78	10.3	-0.43	2.3	-1.06	1.1	-0.78	0.6	-0.77	0.2	-0.82	0.8	0.92	-2.52
