1, 2, 3, 4, 5, 6, 7, 8, 9
Damian Lillard,, Utah,,, Hou
DeMar DeRozan,, @Mem,,, Tor, @NO
Tobias Harris,, Wsh,,, @NY, @Cle
Anthony Davis, LAC,,, Dal,, Min
Brook Lopez,, @Bos,, GS,, @NY
JJ Redick,, @Tor,, @Mia,, SA
Al Horford,, @Hou,,, @Cha,
Jonas Valanciunas,, SA,,, Atl,
Lauri Markkanen,, Atl,,, Ind, GS
Collin Sexton,, Cha,,, @Det, Phi
Kristaps Porzingis,, @Phx,, @LAL,, @LAC
Rui Hachimura,, @Phi,,, Orl, Orl
Tyrese Haliburton,, @Den,,, Phx, Phx
