PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
26 12	Enes Kanter	C	POR	2	27.7	0.600	4.5	7.5	1.32	0.750	1.5	2.0	-0.09	0.0	-1.15	10.5	-0.17	15.0	3.41	2.0	0.00	1.0	0.31	1.5	1.67	0.5	0.45	5.76
27 2	De'Andre Hunter	SF,PF	ATL	2	34.2	0.607	8.5	14.0	2.36	0.875	3.5	4.0	0.93	1.5	0.18	22.0	1.33	3.5	-0.40	3.0	0.48	2.5	2.62	0.0	-0.42	2.5	-1.36	5.72
28 6	Richaun Holmes	PF,C	SAC	2	36.2	0.600	4.5	7.5	1.32	0.000	0.0	0.0	0.00	0.0	-1.15	9.0	-0.36	10.5	1.92	2.0	0.00	0.5	-0.46	3.5	4.45	1.0	0.00	5.72
29 1	Nikola Vucevic	C	ORL	4	38.8	0.406	10.3	25.3	-1.14	0.875	1.8	2.0	0.46	3.3	1.73	25.5	1.78	11.3	2.19	4.3	1.11	1.0	0.31	0.5	0.28	2.3	-1.18	5.53
30 3	Marcus Smart	PG,SG	BOS	4	31.6	0.520	6.5	12.5	1.02	0.765	3.3	4.3	-0.05	1.3	-0.04	17.5	0.74	3.0	-0.56	7.8	2.79	2.5	2.62	0.5	0.28	2.5	-1.36	5.43
31 1	Bam Adebayo	PF,C	MIA	4	35.2	0.545	9.0	16.5	1.69	0.875	5.3	6.0	1.39	0.5	-0.71	23.8	1.56	9.0	1.43	6.3	2.07	0.3	-0.77	0.3	0.00	2.5	-1.36	5.30
32	Mike Conley	PG	UTA	3	28.7	0.500	5.3	10.7	0.68	1.000	1.0	1.0	0.51	2.7	1.21	14.3	0.32	1.7	-0.99	5.7	1.78	2.7	2.93	0.3	0.00	2.3	-1.18	5.26
33 16	David Nwaba	SG,SF	HOU	3	23.5	0.584	4.7	8.0	1.26	0.907	3.3	3.7	1.11	0.7	-0.56	13.3	0.19	5.0	0.10	3.0	0.48	1.3	0.77	1.0	0.97	0.0	0.91	5.24
34 7	Naz Reid	C	MIN	4	26.4	0.512	5.3	10.3	0.80	1.000	2.5	2.5	1.27	1.5	0.18	14.5	0.35	6.3	0.53	1.5	-0.24	0.3	-0.77	2.5	3.06	1.0	0.00	5.17
35 2	Jaylen Brown	SG,SF	BOS	4	29.4	0.527	12.3	23.3	1.84	0.696	4.0	5.8	-0.94	3.3	1.73	31.8	2.60	5.5	0.27	2.3	0.14	1.3	0.77	0.3	0.00	2.5	-1.36	5.04
36 4	Jerami Grant	SF,PF	DET	4	35.8	0.362	6.3	17.3	-1.47	0.853	7.3	8.5	1.56	2.5	1.06	22.3	1.36	7.8	1.03	4.0	0.96	0.8	0.00	1.0	0.97	1.5	-0.45	5.02
37 5	Mikal Bridges	SG,SF	PHX	3	36.9	0.484	5.0	10.3	0.50	1.000	1.7	1.7	0.85	2.7	1.21	14.3	0.32	6.7	0.66	3.7	0.82	0.7	-0.15	1.0	0.97	1.3	-0.27	4.92
38 5	Michael Porter Jr.	SF,PF	DEN	3	27.4	0.530	6.0	11.3	1.06	0.835	1.7	2.0	0.29	3.3	1.80	17.0	0.68	8.3	1.19	0.7	-0.62	1.3	0.77	0.3	0.00	1.3	-0.27	4.88
39 16	James Harden	PG,SG	BRO	4	40.1	0.457	5.3	11.5	0.21	0.833	5.0	6.0	0.84	2.5	1.06	18.0	0.81	6.5	0.60	10.5	4.09	0.8	0.00	0.3	0.00	4.3	-2.99	4.61
40 5	Anfernee Simons	PG,SG	POR	2	26.3	0.615	8.0	13.0	2.31	0.000	0.0	0.0	0.00	5.0	3.27	21.0	1.20	2.5	-0.73	1.5	-0.24	0.5	-0.46	0.0	-0.42	1.5	-0.45	4.48
41 6	Khris Middleton	SF,PF	MIL	2	34.8	0.484	7.5	15.5	0.63	0.833	2.5	3.0	0.42	2.0	0.62	19.5	1.00	6.5	0.60	7.0	2.40	0.5	-0.46	0.0	-0.42	1.5	-0.45	4.34
42 13	Rudy Gobert	C	UTA	3	27.8	0.727	5.3	7.3	2.25	0.399	1.3	3.3	-2.73	0.0	-1.15	12.0	0.03	14.3	3.18	1.7	-0.14	0.3	-0.77	2.7	3.33	0.7	0.27	4.27
43 13	Andrew Wiggins	SG,SF	GSW	4	29.6	0.528	7.0	13.3	1.18	0.583	1.8	3.0	-1.24	2.0	0.62	17.8	0.78	6.8	0.70	1.8	-0.10	0.8	0.00	1.8	2.08	0.8	0.18	4.20
44 15	Harrison Barnes	SF,PF	SAC	2	33.4	0.368	3.5	9.5	-0.64	1.000	4.5	4.5	2.29	1.5	0.18	13.0	0.16	6.5	0.60	4.5	1.20	1.0	0.31	0.0	-0.42	0.5	0.45	4.12
45 8	Shai Gilgeous-Alexander	SG,SF	OKL	4	33.7	0.542	8.0	14.8	1.49	0.714	5.0	7.0	-0.86	1.8	0.40	22.8	1.43	5.8	0.36	7.0	2.40	0.8	0.00	0.8	0.69	3.0	-1.81	4.11
46 8	Wayne Ellington	SG,SF	DET	4	31.8	0.585	6.0	10.3	1.56	0.600	0.8	1.3	-0.47	5.0	3.27	17.8	0.78	2.8	-0.63	2.0	0.00	0.8	0.00	0.0	-0.42	1.0	0.00	4.10
47 11	Malcolm Brogdon	PG,SG	IND	4	37.5	0.416	8.0	19.3	-0.62	0.923	6.0	6.5	2.20	2.3	0.84	24.3	1.62	4.5	-0.07	6.3	2.07	0.8	0.00	0.3	0.00	3.3	-2.08	3.96
48 2	John Collins	PF,C	ATL	3	36.3	0.529	9.0	17.0	1.46	0.796	1.3	1.7	0.10	2.3	0.91	21.7	1.29	8.3	1.19	1.7	-0.14	0.3	-0.77	0.7	0.56	1.7	-0.63	3.95
49 10	Chris Paul	PG	PHX	3	37.2	0.409	6.0	14.7	-0.51	1.000	2.0	2.0	1.02	1.0	-0.27	15.0	0.42	5.7	0.33	10.7	4.18	1.3	0.77	0.3	0.00	3.3	-2.08	3.85
50 2	Taurean Prince	SF,PF	CLE	4	25.1	0.448	3.3	7.3	0.16	0.929	3.3	3.5	1.23	2.0	0.62	11.8	0.00	4.0	-0.23	3.5	0.72	1.5	1.08	0.8	0.69	1.5	-0.45	3.82
51 5	Kendrick Nunn	PG,SG	MIA	4	41.2	0.492	7.3	14.8	0.73	0.833	2.5	3.0	0.42	2.8	1.28	19.8	1.04	4.8	0.03	3.8	0.87	1.3	0.77	0.3	0.00	2.5	-1.36	3.78
52 4	Ben Simmons	PG	PHI	4	31.3	0.613	4.8	7.8	1.46	0.679	4.8	7.0	-1.41	0.0	-1.15	14.3	0.32	6.0	0.43	7.5	2.64	2.3	2.31	0.5	0.28	2.3	-1.18	3.71
53 9	Tobias Harris	SF,PF	PHI	4	36.2	0.565	8.8	15.5	1.91	0.778	1.8	2.3	0.04	2.5	1.06	21.8	1.30	5.5	0.27	2.5	0.24	0.5	-0.46	1.0	0.97	2.8	-1.63	3.69
54 3	Malik Beasley	PG,SG	MIN	4	30.1	0.452	7.0	15.5	0.12	1.000	2.3	2.3	1.14	2.8	1.28	19.0	0.94	5.3	0.20	3.0	0.48	1.0	0.31	0.0	-0.42	1.5	-0.45	3.60
55 18	Jerome Robinson	PG,SG	WAS	1	35.3	0.400	6.0	15.0	-0.67	1.000	1.0	1.0	0.51	3.0	1.50	16.0	0.55	5.0	0.10	4.0	0.96	0.0	-1.23	1.0	0.97	0.0	0.91	3.59
56 8	Joe Ingles	SG,SF	UTA	3	18.7	0.649	4.3	6.7	1.54	0.000	0.0	0.0	0.00	3.3	1.80	12.0	0.03	1.3	-1.13	4.7	1.30	0.3	-0.77	0.7	0.56	0.7	0.27	3.59
57 4	Nicolas Batum	SF,PF	LAC	3	31.7	0.600	4.0	6.7	1.20	0.000	0.0	0.0	0.00	2.7	1.21	10.7	-0.14	2.3	-0.80	1.3	-0.34	1.7	1.39	1.0	0.97	1.0	0.00	3.50
58 19	Otto Porter Jr.	SF,PF	CHI	2	22.9	0.588	5.0	8.5	1.36	0.500	0.5	1.0	-0.60	2.5	1.06	13.0	0.16	6.5	0.60	2.5	0.24	0.0	-1.23	1.0	0.97	0.0	0.91	3.47
59 1	Zion Williamson	PF	NOP	3	35.9	0.592	9.7	16.3	2.46	0.760	6.3	8.3	-0.19	0.3	-0.86	26.0	1.85	6.3	0.53	2.7	0.34	0.7	-0.15	0.3	0.00	1.7	-0.63	3.34
60 8	Jeremy Lamb	SG,SF	IND	4	25.1	0.535	5.8	10.8	1.07	0.933	3.5	3.8	1.35	1.8	0.40	16.8	0.65	4.8	0.03	0.8	-0.58	1.0	0.31	0.3	0.00	1.0	0.00	3.24
61 24	Larry Nance Jr.	PF,C	CLE	3	29.6	0.565	4.3	7.7	1.07	0.599	1.0	1.7	-0.63	1.0	-0.27	10.7	-0.14	7.0	0.76	2.3	0.14	1.7	1.39	0.3	0.00	0.0	0.91	3.23
62 31	Devin Booker	SG,SF	PHX	2	37.4	0.538	10.5	19.5	1.81	0.900	4.5	5.0	1.44	2.0	0.62	27.5	2.04	5.0	0.10	3.5	0.72	0.5	-0.46	1.0	0.97	5.5	-4.08	3.16
63 27	Carmelo Anthony	SF,PF	POR	2	30.3	0.343	6.0	17.5	-1.84	0.875	3.5	4.0	0.93	1.5	0.18	17.0	0.68	5.0	0.10	1.0	-0.48	1.0	0.31	2.0	2.36	0.0	0.91	3.13
64 27	Tony Bradley	C	PHI	1	23.3	0.714	5.0	7.0	2.07	1.000	2.0	2.0	1.02	0.0	-1.15	12.0	0.03	9.0	1.43	0.0	-0.96	0.0	-1.23	1.0	0.97	0.0	0.91	3.07
65 1	T.J. McConnell	PG,SG	IND	4	26.0	0.522	3.0	5.8	0.61	0.000	0.0	0.3	-0.43	0.5	-0.71	6.5	-0.69	3.3	-0.46	7.0	2.40	2.3	2.31	0.5	0.28	1.3	-0.27	3.05
66 4	Jarrett Allen	C	CLE	4	26.3	0.690	5.0	7.3	1.95	0.900	2.3	2.5	0.72	0.0	-1.15	12.3	0.06	7.3	0.86	1.0	-0.48	0.3	-0.77	1.8	2.08	1.3	-0.27	3.01
67 5	Garrison Mathews	SG,SF	WAS	1	34.6	0.429	3.0	7.0	0.03	0.000	0.0	0.0	0.00	3.0	1.50	9.0	-0.36	4.0	-0.23	0.0	-0.96	3.0	3.39	0.0	-0.42	1.0	0.00	2.95
68 17	Tyrese Haliburton	PG,SG	SAC	2	28.1	0.458	5.5	12.0	0.23	0.000	0.0	0.0	0.00	2.5	1.06	13.5	0.22	4.0	-0.23	2.0	0.00	1.5	1.08	2.0	2.36	3.0	-1.81	2.91
69 5	Jeff Green	SF,PF,C	BRO	4	32.9	0.500	4.0	8.0	0.58	1.000	2.5	2.5	1.27	2.0	0.62	12.5	0.09	4.8	0.03	2.0	0.00	1.0	0.31	0.3	0.00	1.0	0.00	2.90
70 35	Paul George	SF,PF	LAC	3	33.4	0.478	7.3	15.3	0.53	0.802	2.7	3.3	0.23	2.3	0.91	19.7	1.03	6.3	0.53	7.0	2.40	1.0	0.31	0.7	0.56	5.0	-3.62	2.88
71 10	Ivica Zubac	C	LAC	3	20.5	0.800	4.0	5.0	1.99	1.000	1.7	1.7	0.85	0.0	-1.15	9.7	-0.27	9.7	1.66	0.7	-0.62	0.0	-1.23	1.3	1.39	0.7	0.27	2.87
72 7	Isaiah Roby	PF	OKL	4	26.8	0.444	4.0	9.0	0.11	1.000	2.5	2.5	1.27	0.5	-0.71	11.0	-0.10	6.5	0.60	2.3	0.14	1.5	1.08	0.5	0.28	0.8	0.18	2.85
73 20	Domantas Sabonis	PF,C	IND	4	34.1	0.465	5.0	10.8	0.31	0.720	4.5	6.3	-0.69	1.5	0.18	16.0	0.55	10.8	2.02	5.0	1.44	1.3	0.77	0.3	0.00	3.0	-1.81	2.76
74 7	Cole Anthony	PG	ORL	4	31.8	0.564	5.5	9.8	1.29	0.600	0.8	1.3	-0.47	2.5	1.06	14.3	0.32	5.5	0.27	3.5	0.72	0.5	-0.46	0.8	0.69	1.8	-0.72	2.70
75	Jordan Clarkson	PG,SG	UTA	3	24.0	0.425	5.7	13.3	-0.22	1.000	3.0	3.0	1.52	2.7	1.21	17.0	0.68	3.7	-0.33	2.3	0.14	1.0	0.31	0.0	-0.42	1.3	-0.27	2.62
76 12	Trey Burke	PG	DAL	4	25.4	0.537	5.5	10.3	1.05	1.000	1.3	1.3	0.64	2.0	0.62	14.3	0.32	0.8	-1.29	1.3	-0.34	2.0	1.85	0.0	-0.42	0.8	0.18	2.62
77 8	Jayson Tatum	SF,PF	BOS	1	31.3	0.476	10.0	21.0	0.60	0.500	1.0	2.0	-1.19	3.0	1.50	24.0	1.59	4.0	-0.23	5.0	1.44	0.0	-1.23	1.0	0.97	2.0	-0.91	2.54
78 15	Jarred Vanderbilt	SF	MIN	4	22.5	0.559	4.8	8.5	1.11	0.500	0.8	1.5	-0.89	0.3	-0.93	10.5	-0.17	5.8	0.36	1.8	-0.10	1.8	1.54	1.3	1.39	0.8	0.18	2.50
79 25	Devin Vassell	SG	SAS	3	23.9	0.381	2.7	7.0	-0.31	0.835	1.7	2.0	0.29	2.0	0.62	9.0	-0.36	3.3	-0.46	1.7	-0.14	1.7	1.39	0.7	0.56	0.0	0.91	2.47
80 12	Devonte' Graham	PG,SG	CHA	3	36.3	0.426	6.7	15.7	-0.30	0.750	3.0	4.0	-0.18	3.7	2.10	20.0	1.07	3.0	-0.56	5.0	1.44	0.3	-0.77	0.0	-0.42	1.0	0.00	2.38
81 3	Serge Ibaka	PF,C	LAC	3	24.4	0.682	5.0	7.3	1.91	0.901	3.0	3.3	0.96	1.0	-0.27	14.0	0.29	7.7	0.99	1.0	-0.48	0.3	-0.77	0.3	0.00	1.3	-0.27	2.37
82 2	Cedi Osman	SF,PF	CLE	4	32.2	0.457	5.3	11.5	0.21	0.857	1.5	1.8	0.34	3.5	1.95	15.5	0.48	3.3	-0.46	2.8	0.38	1.0	0.31	0.0	-0.42	1.5	-0.45	2.33
83 20	Dejounte Murray	PG,SG	SAS	3	20.4	0.483	4.7	9.7	0.48	1.000	1.0	1.0	0.51	0.7	-0.56	11.0	-0.10	5.7	0.33	4.3	1.11	1.0	0.31	0.0	-0.42	0.3	0.63	2.29
84 3	Andre Iguodala	SG,SF	MIA	4	30.9	0.500	2.5	5.0	0.45	0.400	0.5	1.3	-1.02	1.5	0.18	7.0	-0.62	4.8	0.03	1.5	-0.24	2.8	3.08	0.8	0.69	1.3	-0.27	2.29
85 13	Mitchell Robinson	C	NYK	3	27.2	0.692	6.0	8.7	2.31	0.670	0.7	1.0	-0.22	0.0	-1.15	12.7	0.12	9.0	1.43	0.3	-0.82	0.3	-0.77	1.0	0.97	0.7	0.27	2.13
86 24	Collin Sexton	PG,SG	CLE	4	28.4	0.452	8.3	18.3	0.10	0.793	5.8	7.3	0.37	2.0	0.62	24.3	1.62	3.3	-0.46	5.5	1.68	0.8	0.00	0.3	0.00	3.0	-1.81	2.12
87 16	Evan Fournier	SG,SF	ORL	4	32.2	0.477	7.8	16.3	0.53	0.609	3.5	5.8	-2.05	3.5	1.95	22.5	1.39	2.5	-0.73	5.8	1.83	1.3	0.77	0.0	-0.42	2.3	-1.18	2.09
88 7	Bojan Bogdanovic	SF,PF	UTA	3	28.0	0.314	3.7	11.7	-1.48	0.924	4.0	4.3	1.47	2.3	0.91	13.7	0.25	5.7	0.33	4.0	0.96	1.0	0.31	0.0	-0.42	1.3	-0.27	2.06
