PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
110 9	Tim Hardaway Jr.	SG,SF	DAL	4	35.0	0.446	6.3	14.0	0.06	0.889	4.0	4.5	1.18	2.0	0.62	18.5	0.87	3.5	-0.40	1.0	-0.48	0.5	-0.46	0.0	-0.42	0.8	0.18	1.15
111 10	Joe Harris	SG,SF	BRO	4	36.5	0.405	4.3	10.5	-0.34	1.000	0.3	0.3	0.13	3.5	1.95	12.3	0.06	5.0	0.10	2.0	0.00	0.0	-1.23	0.5	0.28	0.8	0.18	1.12
112	Immanuel Quickley	PG	NYK	3	17.2	0.406	4.3	10.7	-0.34	0.918	3.7	4.0	1.30	2.3	0.91	14.7	0.38	2.3	-0.80	2.3	0.14	0.0	-1.23	1.0	0.97	1.3	-0.27	1.07
113 23	Bobby Portis	PF,C	MIL	2	21.5	0.500	5.5	11.0	0.70	1.000	1.0	1.0	0.51	0.5	-0.71	12.5	0.09	7.0	0.76	1.5	-0.24	0.0	-1.23	0.5	0.28	0.0	0.91	1.06
114 28	Andre Drummond	C	CLE	4	24.7	0.518	7.3	14.0	1.08	0.714	2.5	3.5	-0.43	0.0	-1.15	17.0	0.68	11.3	2.19	2.0	0.00	0.8	0.00	0.8	0.69	3.3	-2.08	0.97
115 10	Norman Powell	SG,SF	TOR	4	34.1	0.444	7.0	15.8	0.00	0.769	2.5	3.3	-0.01	2.0	0.62	18.5	0.87	2.8	-0.63	3.0	0.48	0.8	0.00	0.0	-0.42	1.0	0.00	0.92
116	Monte Morris	PG,SG	DEN	4	29.1	0.526	5.0	9.5	0.89	0.800	2.0	2.5	0.17	1.3	-0.04	13.3	0.19	3.3	-0.46	3.8	0.87	0.3	-0.77	0.5	0.28	1.3	-0.27	0.85
117 21	Pascal Siakam	PF,C	TOR	2	58.9	0.481	6.5	13.5	0.55	0.750	3.0	4.0	-0.18	0.5	-0.71	16.5	0.61	10.0	1.76	3.5	0.72	1.0	0.31	0.0	-0.42	3.0	-1.81	0.83
118 10	Patty Mills	PG	SAS	3	27.1	0.432	5.3	12.3	-0.10	1.000	1.0	1.0	0.51	1.7	0.33	13.3	0.19	2.3	-0.80	2.7	0.34	1.3	0.77	0.0	-0.42	1.0	0.00	0.83
119 6	Eric Gordon	SG,SF	HOU	3	33.5	0.481	8.3	17.3	0.62	0.750	5.0	6.7	-0.30	3.3	1.80	25.0	1.72	2.0	-0.90	2.3	0.14	0.0	-1.23	0.0	-0.42	1.7	-0.63	0.79
120 3	Lonzo Ball	PG,SG	NOP	3	26.7	0.371	4.3	11.7	-0.81	0.493	0.3	0.7	-0.41	1.7	0.33	10.7	-0.14	2.0	-0.90	5.3	1.59	1.7	1.39	0.3	0.00	1.3	-0.27	0.77
121 3	Lauri Markkanen	PF,C	CHI	3	32.2	0.512	7.3	14.3	1.00	0.752	1.0	1.3	-0.05	2.0	0.62	17.7	0.77	5.0	0.10	0.7	-0.62	0.3	-0.77	0.3	0.00	1.3	-0.27	0.77
122 13	D'Angelo Russell	PG,SG	MIN	2	26.1	0.346	4.5	13.0	-1.26	1.000	2.5	2.5	1.27	2.5	1.06	14.0	0.29	2.0	-0.90	5.0	1.44	0.0	-1.23	1.0	0.97	2.0	-0.91	0.74
123 7	Montrezl Harrell	PF,C	LAL	3	26.9	0.591	4.3	7.3	1.23	0.918	3.7	4.0	1.30	0.0	-1.15	12.3	0.06	5.3	0.20	1.7	-0.14	0.3	-0.77	0.3	0.00	1.0	0.00	0.73
124 35	DeMarcus Cousins	PF,C	HOU	3	25.6	0.343	4.0	11.7	-1.15	0.777	2.3	3.0	0.04	1.7	0.33	12.0	0.03	12.7	2.65	5.0	1.44	0.0	-1.23	1.0	0.97	3.7	-2.45	0.64
125 19	Goran Dragic	PG,SG	MIA	4	29.4	0.424	6.3	14.8	-0.30	0.769	2.5	3.3	-0.01	2.5	1.06	17.5	0.74	4.0	-0.23	5.3	1.59	0.5	-0.46	0.0	-0.42	2.5	-1.36	0.62
126 23	Cory Joseph	PG	SAC	2	15.4	0.500	3.0	6.0	0.50	0.500	0.5	1.0	-0.60	0.5	-0.71	7.0	-0.62	2.5	-0.73	3.0	0.48	1.5	1.08	0.5	0.28	0.0	0.91	0.58
127 44	Bradley Beal	SG,SF	WAS	1	32.5	0.448	13.0	29.0	-0.10	0.667	2.0	3.0	-0.68	3.0	1.50	31.0	2.50	7.0	0.76	4.0	0.96	0.0	-1.23	0.0	-0.42	4.0	-2.72	0.57
128 4	Kentavious Caldwell-Pope	PG,SG	LAL	3	26.0	0.500	4.0	8.0	0.58	0.835	1.7	2.0	0.29	3.0	1.50	12.7	0.12	2.7	-0.66	1.0	-0.48	0.3	-0.77	0.3	0.00	1.0	0.00	0.57
129 12	RJ Barrett	SG,SF	NYK	3	31.8	0.512	7.3	14.3	1.00	0.817	3.0	3.7	0.38	1.3	0.03	19.0	0.94	4.3	-0.13	3.3	0.62	0.0	-1.23	0.0	-0.42	1.7	-0.63	0.56
130 12	Jae'Sean Tate	SG	HOU	3	29.8	0.689	3.7	5.3	1.50	0.752	1.0	1.3	-0.05	1.0	-0.27	9.3	-0.32	4.3	-0.13	0.3	-0.82	1.0	0.31	1.0	0.97	1.7	-0.63	0.55
131 11	Brook Lopez	C	MIL	2	29.2	0.556	5.0	9.0	1.13	1.000	1.5	1.5	0.76	1.0	-0.27	12.5	0.09	3.5	-0.40	0.0	-0.96	0.0	-1.23	1.0	0.97	0.5	0.45	0.55
132 1	Terry Rozier	PG	CHA	3	37.2	0.400	5.3	13.3	-0.57	0.500	1.0	2.0	-1.19	2.0	0.62	13.7	0.25	3.7	-0.33	4.0	0.96	1.3	0.77	0.3	0.00	1.0	0.00	0.51
133 12	Patrick Beverley	PG,SG	LAC	3	22.3	0.266	1.3	5.0	-0.74	0.752	1.0	1.3	-0.05	1.0	-0.27	4.7	-0.92	5.0	0.10	1.7	-0.14	2.0	1.85	0.3	0.00	0.3	0.63	0.46
134 6	Dylan Windler	SF	CLE	3	19.9	0.700	2.3	3.3	1.07	1.000	1.3	1.3	0.68	1.0	-0.27	7.0	-0.62	4.0	-0.23	1.3	-0.34	1.0	0.31	0.0	-0.42	0.7	0.27	0.45
135 6	Sterling Brown	SG,SF	HOU	3	21.6	0.500	3.0	6.0	0.50	0.000	0.0	0.0	0.00	1.3	0.03	7.3	-0.58	4.0	-0.23	2.3	0.14	1.0	0.31	0.3	0.00	0.7	0.27	0.43
136 23	Isaiah Hartenstein	PF	DEN	1	12.9	0.500	1.0	2.0	0.33	1.000	3.0	3.0	1.52	0.0	-1.15	5.0	-0.88	7.0	0.76	0.0	-0.96	1.0	0.31	0.0	-0.42	0.0	0.91	0.42
137 2	Carsen Edwards	PG	BOS	2	15.8	0.563	4.5	8.0	1.09	0.750	1.5	2.0	-0.09	1.5	0.18	12.0	0.03	2.5	-0.73	0.5	-0.72	1.5	1.08	0.0	-0.42	1.0	0.00	0.42
138 16	Rodney Hood	SG,SF	POR	1	27.0	0.500	3.0	6.0	0.50	0.000	0.0	0.0	0.00	1.0	-0.27	7.0	-0.62	2.0	-0.90	1.0	-0.48	3.0	3.39	0.0	-0.42	2.0	-0.91	0.30
139 10	Miles Bridges	SF,PF	CHA	3	23.9	0.546	4.0	7.3	0.89	1.000	1.3	1.3	0.68	0.7	-0.56	10.0	-0.23	6.0	0.43	0.7	-0.62	1.0	0.31	0.3	0.00	1.7	-0.63	0.26
140 12	Aron Baynes	C	TOR	4	16.3	0.423	2.8	6.5	0.01	0.000	0.0	0.0	0.00	1.3	-0.04	6.8	-0.65	5.5	0.27	1.3	-0.34	0.5	-0.46	1.0	0.97	0.5	0.45	0.20
141 12	Aaron Nesmith	SG,SF	BOS	2	17.7	0.636	3.5	5.5	1.24	0.000	0.0	0.0	0.00	3.0	1.50	10.0	-0.23	3.5	-0.40	0.5	-0.72	0.0	-1.23	0.0	-0.42	0.5	0.45	0.19
142 25	Isaac Bonga	SF,PF	WAS	1	32.5	0.300	3.0	10.0	-1.38	0.000	0.0	0.0	0.00	1.0	-0.27	7.0	-0.62	7.0	0.76	1.0	-0.48	1.0	0.31	1.0	0.97	0.0	0.91	0.19
143 6	Kelly Olynyk	PF,C	MIA	4	19.1	0.290	2.3	7.8	-1.09	1.000	0.8	0.8	0.38	0.8	-0.49	6.0	-0.75	5.3	0.20	3.5	0.72	1.3	0.77	0.8	0.69	1.3	-0.27	0.16
144 1	Kevin Huerter	SG,SF	ATL	3	34.0	0.367	3.7	10.0	-0.70	1.000	0.7	0.7	0.34	1.7	0.33	9.7	-0.27	4.0	-0.23	2.7	0.34	1.3	0.77	0.0	-0.42	1.0	0.00	0.15
145 11	Jordan McLaughlin	PG	MIN	4	18.8	0.520	3.3	6.3	0.63	0.800	1.0	1.3	0.08	1.0	-0.27	8.5	-0.43	2.8	-0.63	5.3	1.59	0.8	0.00	0.0	-0.42	1.5	-0.45	0.11
146 15	Donte DiVincenzo	PG,SG	MIL	2	24.5	0.500	4.0	8.0	0.58	0.000	0.0	0.0	0.00	1.5	0.18	9.5	-0.30	6.5	0.60	3.5	0.72	0.5	-0.46	0.0	-0.42	2.0	-0.91	-0.01
147 8	Duncan Robinson	SG,SF	MIA	4	40.7	0.375	3.8	10.0	-0.62	1.000	2.3	2.3	1.14	2.8	1.28	12.5	0.09	4.0	-0.23	1.3	-0.34	0.0	-1.23	0.5	0.28	1.5	-0.45	-0.08
148 2	James Wiseman	C	GSW	4	22.7	0.600	6.0	10.0	1.68	0.652	3.8	5.8	-1.50	0.0	-1.15	15.8	0.52	5.8	0.36	1.5	-0.24	0.3	-0.77	1.0	0.97	1.0	0.00	-0.12
149 2	Jaylen Nowell	SG	MIN	1	12.1	1.000	4.0	4.0	2.46	0.000	0.0	0.0	0.00	1.0	-0.27	9.0	-0.36	2.0	-0.90	0.0	-0.96	1.0	0.31	0.0	-0.42	1.0	0.00	-0.14
150 18	PJ Dozier	PG,SG	DEN	4	15.0	0.556	2.5	4.5	0.69	0.875	1.8	2.0	0.46	1.0	-0.27	7.8	-0.52	2.8	-0.63	1.3	-0.34	0.8	0.00	0.3	0.00	0.5	0.45	-0.15
151 12	James Ennis III	SG,SF	ORL	4	22.7	0.474	2.3	4.8	0.32	0.000	0.0	0.0	0.00	1.0	-0.27	5.5	-0.82	4.3	-0.13	2.5	0.24	0.8	0.00	0.5	0.28	0.8	0.18	-0.20
152 4	Gary Trent Jr.	SG,SF	POR	2	31.3	0.481	6.5	13.5	0.55	0.000	0.0	0.5	-0.85	3.5	1.95	16.5	0.61	0.5	-1.39	0.0	-0.96	1.0	0.31	0.0	-0.42	1.0	0.00	-0.21
153 5	Yuta Watanabe	SF,PF	MEM	2	18.4	0.231	1.5	6.5	-1.27	1.000	2.0	2.0	1.02	1.0	-0.27	6.0	-0.75	5.5	0.27	1.0	-0.48	1.0	0.31	1.0	0.97	1.0	0.00	-0.21
154 16	James Johnson	PF,C	DAL	4	24.6	0.538	3.5	6.5	0.77	0.000	0.0	0.0	0.00	0.8	-0.49	7.8	-0.52	3.5	-0.40	1.5	-0.24	0.3	-0.77	1.0	0.97	0.5	0.45	-0.22
155 9	Isaiah Stewart	PF,C	DET	4	19.6	0.529	2.3	4.3	0.55	0.833	1.3	1.5	0.21	0.0	-1.15	5.8	-0.78	5.5	0.27	0.5	-0.72	0.8	0.00	1.5	1.67	1.3	-0.27	-0.23
156 21	Lonnie Walker IV	SG,SF	SAS	3	27.8	0.357	3.3	9.3	-0.73	1.000	0.7	0.7	0.34	2.0	0.62	9.3	-0.32	3.7	-0.33	1.3	-0.34	1.0	0.31	0.0	-0.42	0.3	0.63	-0.24
157 9	Josh Okogie	SG,SF	MIN	4	22.1	0.368	1.8	4.8	-0.19	0.857	1.5	1.8	0.34	0.8	-0.49	5.8	-0.78	2.5	-0.73	1.0	-0.48	2.3	2.31	0.3	0.00	1.3	-0.27	-0.29
158 15	Kelly Oubre Jr.	SF,PF	GSW	4	28.4	0.308	3.0	9.8	-1.27	0.667	3.5	5.3	-1.20	1.0	-0.27	10.5	-0.17	5.8	0.36	2.0	0.00	1.5	1.08	0.8	0.69	0.5	0.45	-0.31
159 5	Cassius Winston	PG	WAS	1	21.7	0.429	3.0	7.0	0.03	0.000	0.0	0.0	0.00	2.0	0.62	8.0	-0.49	4.0	-0.23	2.0	0.00	0.0	-1.23	1.0	0.97	1.0	0.00	-0.34
160 6	Seth Curry	PG,SG	PHI	3	25.6	0.452	4.7	10.3	0.17	1.000	1.3	1.3	0.68	1.3	0.03	12.0	0.03	1.7	-0.99	1.3	-0.34	1.3	0.77	0.0	-0.42	1.3	-0.27	-0.35
161 22	Nerlens Noel	PF,C	NYK	3	20.7	0.362	1.3	3.7	-0.12	0.498	1.3	2.7	-1.60	0.0	-1.15	4.0	-1.01	9.7	1.66	1.0	-0.48	1.0	0.31	1.3	1.39	0.3	0.63	-0.37
162 24	Coby White	PG,SG	CHI	3	29.6	0.382	4.3	11.3	-0.65	0.835	1.7	2.0	0.29	2.0	0.62	12.3	0.06	3.7	-0.33	4.3	1.11	0.7	-0.15	0.0	-0.42	2.0	-0.91	-0.38
163 12	Solomon Hill	SG,SF	ATL	3	25.9	0.428	2.0	4.7	0.10	1.000	0.7	0.7	0.34	1.3	0.03	6.0	-0.75	2.0	-0.90	2.3	0.14	1.0	0.31	0.3	0.00	0.7	0.27	-0.46
164 2	P.J. Tucker	PF,C	HOU	3	26.4	0.600	3.0	5.0	0.97	1.000	0.7	0.7	0.34	1.0	-0.27	7.7	-0.53	4.3	-0.13	0.7	-0.62	0.3	-0.77	0.7	0.56	1.0	0.00	-0.47
165 23	Danny Green	SG,SF	PHI	4	26.7	0.379	2.8	7.3	-0.35	0.000	0.0	0.0	0.00	2.0	0.62	7.5	-0.56	3.0	-0.56	0.8	-0.58	1.0	0.31	0.3	0.00	0.3	0.63	-0.48
166 5	Luguentz Dort	SG,SF	OKL	4	29.3	0.488	5.0	10.3	0.54	0.600	0.8	1.3	-0.47	1.8	0.40	12.5	0.09	3.0	-0.56	2.5	0.24	0.5	-0.46	0.3	0.00	1.3	-0.27	-0.50
167 7	Mike Muscala	PF,C	OKL	4	18.1	0.421	4.0	9.5	-0.13	0.500	0.3	0.5	-0.30	2.8	1.28	11.0	-0.10	2.5	-0.73	0.5	-0.72	0.8	0.00	0.3	0.00	0.8	0.18	-0.52
168 17	D.J. Augustin	PG	MIL	2	16.4	0.455	2.5	5.5	0.22	0.000	0.0	0.0	0.00	1.5	0.18	6.5	-0.69	1.5	-1.06	3.0	0.48	1.0	0.31	0.0	-0.42	0.5	0.45	-0.53
169 25	P.J. Washington	SF,PF	CHA	3	29.2	0.429	4.0	9.3	-0.05	1.000	0.7	0.7	0.34	0.3	-0.86	9.0	-0.36	4.3	-0.13	2.3	0.14	1.0	0.31	1.0	0.97	2.0	-0.91	-0.54
170 11	Royce O'Neale	SF,PF	UTA	3	31.6	0.411	2.3	5.7	-0.03	0.000	0.0	0.0	0.00	2.0	0.62	6.7	-0.66	3.7	-0.33	1.7	-0.14	0.0	-1.23	1.0	0.97	0.7	0.27	-0.54
171 7	Doug McDermott	SF,PF	IND	4	30.0	0.425	4.3	10.0	-0.11	0.667	1.0	1.5	-0.34	1.5	0.18	11.0	-0.10	4.5	-0.07	2.3	0.14	0.5	-0.46	0.3	0.00	0.8	0.18	-0.58
172 20	Paul Millsap	PF,C	DEN	4	21.2	0.423	2.8	6.5	0.01	0.625	1.3	2.0	-0.64	0.5	-0.71	7.3	-0.58	7.0	0.76	1.8	-0.10	0.8	0.00	0.3	0.00	0.3	0.63	-0.63
173 11	Chris Boucher	PF,C	TOR	4	24.2	0.361	3.3	9.0	-0.66	0.500	0.5	1.0	-0.60	1.5	0.18	8.5	-0.43	5.5	0.27	1.3	-0.34	0.8	0.00	1.3	1.39	1.5	-0.45	-0.64
174 2	Brodric Thomas	SG	HOU	1	5.1	0.500	1.0	2.0	0.33	1.000	2.0	2.0	1.02	1.0	-0.27	5.0	-0.88	1.0	-1.23	0.0	-0.96	1.0	0.31	1.0	0.97	1.0	0.00	-0.71
175 110	Giannis Antetokounmpo	PF,C	MIL	2	35.7	0.667	10.0	15.0	3.42	0.579	5.5	9.5	-4.01	0.5	-0.71	26.0	1.85	13.0	2.75	5.5	1.68	0.0	-1.23	1.0	0.97	7.0	-5.43	-0.71
176 7	Alec Burks	SG,SF	NYK	3	28.3	0.367	3.7	10.0	-0.70	0.642	3.0	4.7	-1.32	2.3	0.91	12.7	0.12	4.7	0.00	1.3	-0.34	1.0	0.31	0.7	0.56	1.3	-0.27	-0.73
177 5	Cameron Johnson	SF,PF	PHX	3	31.6	0.375	4.0	10.7	-0.68	0.670	0.7	1.0	-0.22	2.0	0.62	10.7	-0.14	3.0	-0.56	1.3	-0.34	1.3	0.77	0.3	0.00	1.3	-0.27	-0.82
178 23	Kyle Lowry	PG	TOR	2	34.6	0.174	2.0	11.5	-3.11	0.909	5.0	5.5	1.69	1.0	-0.27	10.0	-0.23	6.0	0.43	4.0	0.96	1.0	0.31	0.5	0.28	2.0	-0.91	-0.85
179 22	Garrett Temple	PG,SG	CHI	3	26.2	0.384	3.3	8.7	-0.42	1.000	0.7	0.7	0.34	1.0	-0.27	8.3	-0.45	4.0	-0.23	1.3	-0.34	1.7	1.39	0.3	0.00	2.0	-0.91	-0.89
180 7	Kent Bazemore	SG,SF	GSW	4	14.2	0.571	2.0	3.5	0.65	1.000	1.0	1.0	0.51	0.5	-0.71	5.5	-0.82	3.0	-0.56	1.0	-0.48	0.5	-0.46	1.0	0.97	1.0	0.00	-0.90
181 10	Rajon Rondo	PG	ATL	3	20.3	0.466	2.3	5.0	0.28	0.493	0.3	0.7	-0.41	1.0	-0.27	6.0	-0.75	4.3	-0.13	5.0	1.44	0.7	-0.15	0.0	-0.42	1.7	-0.63	-1.04
182 9	Stanley Johnson	SG,SF,PF	TOR	4	20.7	0.222	0.5	2.3	-0.30	0.833	1.3	1.5	0.21	0.3	-0.93	2.5	-1.21	3.3	-0.46	3.3	0.62	1.0	0.31	0.8	0.69	1.0	0.00	-1.06
183 28	Justin Jackson	SF,PF	OKL	2	11.7	0.625	2.5	4.0	0.92	0.750	1.5	2.0	-0.09	1.0	-0.27	7.5	-0.56	2.0	-0.90	1.5	-0.24	0.5	-0.46	0.0	-0.42	0.0	0.91	-1.10
184 21	Ed Davis	PF,C	MIN	4	14.0	0.500	1.0	2.0	0.33	0.000	0.0	0.0	0.00	0.0	-1.15	2.0	-1.27	6.3	0.53	2.0	0.00	0.5	-0.46	0.5	0.28	0.3	0.63	-1.11
185 11	Alex Caruso	PG,SG	LAL	3	18.3	0.231	1.0	4.3	-0.76	1.000	0.7	0.7	0.34	1.0	-0.27	3.7	-1.05	2.0	-0.90	1.7	-0.14	1.7	1.39	0.3	0.00	0.7	0.27	-1.12
186 11	Robert Williams III	C	BOS	3	13.4	0.443	1.3	3.0	0.20	1.000	1.0	1.0	0.51	0.0	-1.15	3.7	-1.05	4.7	0.00	0.7	-0.62	0.0	-1.23	1.7	1.95	0.7	0.27	-1.14
187 22	Dwight Howard	C	PHI	4	17.5	0.389	1.8	4.5	-0.08	0.600	1.5	2.5	-0.94	0.0	-1.15	5.0	-0.88	8.3	1.19	0.3	-0.82	1.3	0.77	1.5	1.67	2.0	-0.91	-1.14
188 15	Jarrett Culver	PG,SG	MIN	4	18.3	0.500	3.8	7.5	0.56	0.750	2.3	3.0	-0.13	0.8	-0.49	10.5	-0.17	2.8	-0.63	0.8	-0.58	0.5	-0.46	0.5	0.28	0.5	0.45	-1.17
189 4	Terrence Ross	SG,SF	ORL	4	29.9	0.333	3.3	9.8	-1.01	0.750	1.5	2.0	-0.09	1.0	-0.27	9.0	-0.36	3.0	-0.56	3.0	0.48	1.3	0.77	0.3	0.00	1.3	-0.27	-1.31
190 4	Eric Bledsoe	PG,SG	NOP	3	28.8	0.409	6.0	14.7	-0.51	0.498	1.3	2.7	-1.60	1.7	0.33	15.0	0.42	5.0	0.10	2.7	0.34	1.0	0.31	0.0	-0.42	1.3	-0.27	-1.32
191 2	Darius Bazley	SF,PF	OKL	4	28.7	0.486	4.5	9.3	0.50	0.500	1.0	2.0	-1.19	2.0	0.62	12.0	0.03	6.0	0.43	1.3	-0.34	0.0	-1.23	0.5	0.28	1.5	-0.45	-1.36
192 24	Jordan Bone	PG	DET	1	15.4	0.600	3.0	5.0	0.97	0.000	0.0	0.0	0.00	2.0	0.62	8.0	-0.49	1.0	-1.23	1.0	-0.48	0.0	-1.23	0.0	-0.42	0.0	0.91	-1.36
193 24	Torrey Craig	SG,SF	MIL	1	13.5	0.667	2.0	3.0	0.88	0.000	0.0	0.0	0.00	0.0	-1.15	4.0	-1.01	2.0	-0.90	2.0	0.00	1.0	0.31	0.0	-0.42	0.0	0.91	-1.38
194 47	De'Aaron Fox	PG	SAC	2	35.7	0.447	8.5	19.0	0.01	0.500	4.0	8.0	-4.77	2.5	1.06	23.5	1.52	3.5	-0.40	7.0	2.40	1.0	0.31	0.5	0.28	3.0	-1.81	-1.40
195 14	Pat Connaughton	SG,SF	MIL	2	20.1	0.250	1.0	4.0	-0.61	1.000	1.0	1.0	0.51	0.0	-1.15	3.0	-1.14	4.5	-0.07	2.0	0.00	1.0	0.31	0.5	0.28	0.5	0.45	-1.42
196 14	Austin Rivers	PG,SG	NYK	1	28.5	0.333	1.0	3.0	-0.14	0.000	0.0	0.0	0.00	1.0	-0.27	3.0	-1.14	2.0	-0.90	3.0	0.48	2.0	1.85	0.0	-0.42	2.0	-0.91	-1.43
197 25	Jalen Smith	PF	PHX	1	8.8	0.667	2.0	3.0	0.88	0.000	0.0	0.0	0.00	1.0	-0.27	5.0	-0.88	2.0	-0.90	0.0	-0.96	0.0	-1.23	1.0	0.97	0.0	0.91	-1.48
198 27	Marvin Bagley III	PF,C	SAC	2	30.1	0.450	4.5	10.0	0.15	0.250	0.5	2.0	-2.30	0.5	-0.71	10.0	-0.23	9.5	1.59	0.5	-0.72	0.5	-0.46	0.5	0.28	0.0	0.91	-1.50
199 8	Khem Birch	PF,C	ORL	4	24.5	0.353	1.5	4.3	-0.21	0.667	2.0	3.0	-0.68	0.0	-1.15	5.0	-0.88	6.5	0.60	1.8	-0.10	0.8	0.00	0.8	0.69	0.8	0.18	-1.56
200 13	Gary Clark	SF,PF	ORL	4	17.5	0.538	1.8	3.3	0.51	1.000	0.5	0.5	0.25	1.5	0.18	5.5	-0.82	4.0	-0.23	0.5	-0.72	0.3	-0.77	0.0	-0.42	0.5	0.45	-1.57
201 2	Keldon Johnson	SF	SAS	3	30.1	0.400	4.7	11.7	-0.46	0.764	4.3	5.7	-0.08	0.3	-0.86	14.0	0.29	8.7	1.33	2.3	0.14	0.0	-1.23	0.0	-0.42	1.3	-0.27	-1.57
202 2	Cam Reddish	SF,PF	ATL	2	26.3	0.222	2.0	9.0	-1.94	0.786	5.5	7.0	0.24	0.5	-0.71	10.0	-0.23	4.5	-0.07	1.5	-0.24	1.5	1.08	0.5	0.28	1.0	0.00	-1.58
203 16	Jaden McDaniels	PF	MIN	4	23.6	0.324	2.8	8.5	-0.93	0.000	0.0	0.8	-1.28	1.0	-0.27	6.5	-0.69	5.3	0.20	1.0	-0.48	0.5	-0.46	1.5	1.67	0.3	0.63	-1.61
204 25	Reggie Bullock	SG,SF	NYK	2	19.0	0.364	2.0	5.5	-0.29	0.000	0.0	0.0	0.00	2.0	0.62	6.0	-0.75	2.5	-0.73	1.0	-0.48	0.5	-0.46	0.0	-0.42	0.0	0.91	-1.61
205 26	Blake Griffin	PF,C	DET	3	30.8	0.346	3.0	8.7	-0.76	0.668	2.7	4.0	-0.91	1.7	0.33	10.3	-0.19	7.0	0.76	3.0	0.48	0.7	-0.15	0.3	0.00	2.3	-1.18	-1.62
206 26	Will Barton	SG,SF	DEN	4	26.2	0.387	3.0	7.8	-0.33	0.900	2.3	2.5	0.72	1.0	-0.27	9.3	-0.32	4.0	-0.23	3.8	0.87	0.5	-0.46	0.0	-0.42	2.3	-1.18	-1.62
207 14	Tyrese Maxey	SG	PHI	4	15.1	0.381	2.0	5.3	-0.17	1.000	0.8	0.8	0.38	0.5	-0.71	5.3	-0.84	2.3	-0.80	1.0	-0.48	1.3	0.77	0.0	-0.42	0.3	0.63	-1.63
208 7	Harry Giles III	PF,C	POR	2	17.3	0.444	2.0	4.5	0.18	1.000	0.5	0.5	0.25	0.0	-1.15	4.5	-0.95	7.0	0.76	1.5	-0.24	0.0	-1.23	0.5	0.28	0.5	0.45	-1.65
209 22	Cristiano Felicio	C	CHI	1	7.1	1.000	2.0	2.0	1.35	0.750	3.0	4.0	-0.18	0.0	-1.15	7.0	-0.62	2.0	-0.90	0.0	-0.96	1.0	0.31	0.0	-0.42	0.0	0.91	-1.66
210 8	Mason Jones	SG	HOU	3	11.2	0.642	3.0	4.7	1.12	0.493	0.3	0.7	-0.41	1.7	0.33	8.0	-0.49	2.0	-0.90	1.0	-0.48	0.7	-0.15	0.0	-0.42	1.3	-0.27	-1.67
211 5	Bismack Biyombo	C	CHA	3	26.5	0.545	2.0	3.7	0.57	0.429	1.0	2.3	-1.75	0.0	-1.15	5.0	-0.88	7.3	0.86	1.7	-0.14	0.7	-0.15	1.0	0.97	1.0	0.00	-1.68
212 21	Robert Covington	PF,C	POR	1	27.9	0.143	1.0	7.0	-2.02	1.000	2.0	2.0	1.02	0.0	-1.15	4.0	-1.01	3.0	-0.56	2.0	0.00	0.0	-1.23	2.0	2.36	0.0	0.91	-1.70
213 23	Talen Horton-Tucker	SG,SF	LAL	1	21.2	0.500	3.0	6.0	0.50	1.000	4.0	4.0	2.03	0.0	-1.15	10.0	-0.23	2.0	-0.90	0.0	-0.96	1.0	0.31	0.0	-0.42	2.0	-0.91	-1.73
214 4	Jake Layman	SF,PF	MIN	2	13.1	0.556	2.5	4.5	0.69	1.000	0.5	0.5	0.25	0.0	-1.15	5.5	-0.82	2.5	-0.73	1.5	-0.24	0.5	-0.46	0.5	0.28	0.5	0.45	-1.73
215 7	Derrick Rose	PG,SG	DET	2	24.0	0.385	5.0	13.0	-0.75	1.000	1.0	1.0	0.51	0.5	-0.71	11.5	-0.04	3.0	-0.56	2.0	0.00	0.5	-0.46	0.5	0.28	1.0	0.00	-1.74
216 10	Derrick Favors	PF,C	UTA	3	15.7	0.642	3.0	4.7	1.12	0.625	1.7	2.7	-0.85	0.0	-1.15	7.7	-0.53	6.3	0.53	0.3	-0.82	0.0	-1.23	0.7	0.56	0.3	0.63	-1.75
217 7	Isaac Okoro	SF	CLE	4	34.5	0.357	2.5	7.0	-0.49	0.667	2.0	3.0	-0.68	0.8	-0.49	7.8	-0.52	3.0	-0.56	0.8	-0.58	1.8	1.54	0.3	0.00	1.0	0.00	-1.77
218 21	Bruce Brown	SG	BRO	4	15.0	0.467	1.8	3.8	0.28	0.500	0.3	0.5	-0.30	0.3	-0.93	4.0	-1.01	4.0	-0.23	0.3	-0.82	0.8	0.00	0.5	0.28	0.0	0.91	-1.83
219 33	Josh Jackson	SG,SF	DET	4	23.9	0.419	3.3	7.8	-0.07	0.684	3.3	4.8	-0.90	0.8	-0.49	10.5	-0.17	3.0	-0.56	1.5	-0.24	0.5	-0.46	2.0	2.36	2.5	-1.36	-1.89
220 12	Cody Zeller	C	CHA	3	14.6	0.428	2.0	4.7	0.10	0.802	2.7	3.3	0.23	0.0	-1.15	6.7	-0.66	5.7	0.33	1.7	-0.14	0.0	-1.23	0.3	0.00	0.3	0.63	-1.89
