0,1,2
,GP,10
,Kyle Lowry,1
O,James Harden,0
,Dillon Brooks,1
,Aaron Gordon,2
,Karl-Anthony Towns,2
,Chris Paul,2
,Tim Hardaway Jr.,2
,Eric Bledsoe,2
,Goran Dragic,1
,Joe Ingles,1
,Daniel Theis,2
,Hassan Whiteside,2
,Victor Oladipo,2
