PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
1	Luka Doncic	PG,SG	DAL	7	38.0	0.556	12.7	22.9	2.54	0.752	10.0	13.3	-1.06	3.4	1.92	38.9	3.37	10.1	1.94	9.7	3.48	2.3	2.93	0.6	0.41	3.4	-2.17	13.36
2	Jimmy Butler	SF,PF	MIA	3	33.4	0.524	7.3	14.0	0.96	0.904	6.3	7.0	2.51	0.3	-1.01	21.3	1.12	5.7	0.36	5.0	1.27	4.0	6.05	0.0	-0.82	0.7	0.62	11.06
3	Nikola Jokic	C	DEN	7	37.5	0.579	11.0	19.0	2.68	0.789	5.9	7.4	0.19	1.0	-0.38	28.9	2.09	13.0	2.98	11.1	4.13	1.3	1.10	0.4	0.00	3.1	-1.86	10.93
4	Joel Embiid	PF,C	PHI	7	35.2	0.510	11.3	22.1	1.13	0.846	9.4	11.1	2.14	0.9	-0.51	32.9	2.60	9.6	1.76	4.3	0.94	1.1	0.73	2.0	3.27	2.9	-1.65	10.41
5	Jayson Tatum	SF,PF	BOS	5	36.4	0.492	11.8	24.0	0.66	0.846	8.8	10.4	1.99	3.4	1.89	35.8	2.97	7.8	1.11	3.8	0.70	1.4	1.28	0.6	0.41	2.0	-0.72	10.30
6	Tyrese Haliburton	PG,SG	IND	7	33.1	0.517	8.9	17.1	1.03	0.893	3.6	4.0	1.30	4.3	2.74	25.6	1.67	2.7	-0.72	8.1	2.72	1.6	1.65	0.4	0.00	1.7	-0.41	9.98
7	Lauri Markkanen	SF,PF	UTA	7	34.4	0.544	9.7	17.9	1.69	0.895	6.1	6.9	2.28	4.3	2.74	29.9	2.22	9.0	1.54	0.7	-0.75	0.7	0.00	0.3	-0.20	1.1	0.21	9.72
8	Paul George	SF,PF	LAC	6	36.5	0.487	9.5	19.5	0.42	0.938	5.0	5.3	2.43	4.0	2.46	28.0	1.98	5.8	0.39	6.3	1.88	2.0	2.38	0.5	0.20	3.8	-2.58	9.57
9	Kevin Durant	SF,PF	BRO	6	33.7	0.556	9.8	17.7	1.97	0.953	6.7	7.0	3.49	2.2	0.73	28.5	2.04	7.8	1.11	5.0	1.27	1.0	0.55	0.8	0.82	3.7	-2.48	9.50
10	Nicolas Claxton	C	BRO	6	29.8	0.777	5.8	7.5	2.98	0.599	1.0	1.7	-0.87	0.0	-1.33	12.7	0.03	7.0	0.83	2.5	0.09	1.0	0.55	3.2	5.73	0.5	0.83	8.84
11	Domantas Sabonis	PF,C	SAC	5	37.5	0.634	9.0	14.2	3.01	0.767	4.6	6.0	-0.23	1.4	0.00	24.0	1.47	16.0	4.06	8.4	2.87	0.6	-0.18	0.2	-0.41	3.0	-1.76	8.82
12	LeBron James	SF,PF	LAL	7	34.8	0.575	13.1	22.9	3.10	0.842	6.1	7.3	1.31	1.6	0.16	34.0	2.74	6.7	0.72	7.6	2.49	0.3	-0.73	0.7	0.61	3.1	-1.86	8.54
13	James Harden	PG,SG	PHI	6	39.0	0.434	6.0	13.8	-0.67	0.921	5.8	6.3	2.58	2.8	1.35	20.7	1.05	5.3	0.22	12.2	4.65	1.7	1.83	0.5	0.20	4.2	-3.00	8.21
14	DeMar DeRozan	SF,PF	CHI	8	38.9	0.526	10.3	19.5	1.39	0.860	6.9	8.0	1.85	0.4	-0.97	27.8	1.95	5.9	0.43	6.0	1.74	1.5	1.47	0.5	0.20	1.6	-0.31	7.76
15	Christian Wood	PF,C	DAL	7	31.1	0.528	6.9	13.0	0.96	0.774	2.4	3.1	-0.06	2.4	0.97	18.6	0.78	7.6	1.04	2.0	-0.14	0.7	0.00	2.6	4.50	1.9	-0.62	7.44
16	Kristaps Porzingis	PF,C	WAS	5	35.1	0.458	6.6	14.4	-0.24	0.778	5.6	7.2	-0.05	2.0	0.57	20.8	1.06	10.6	2.12	2.2	-0.05	1.4	1.28	2.2	3.68	2.4	-1.14	7.24
