PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
17	Shai Gilgeous-Alexander	PG,SG	OKL	6	36.1	0.476	9.8	20.7	0.13	0.839	8.7	10.3	1.77	1.0	-0.38	29.3	2.14	5.5	0.29	5.5	1.50	1.5	1.47	1.3	1.84	2.8	-1.55	7.21
18	Jaren Jackson Jr	PF,C	MEM	6	25.9	0.471	5.5	11.7	0.00	0.835	1.7	2.0	0.32	0.8	-0.54	13.5	0.13	5.3	0.22	1.3	-0.47	1.7	1.83	3.3	5.93	1.8	-0.52	6.90
19	Pascal Siakam	PF,C	TOR	7	41.0	0.500	11.0	22.0	0.84	0.800	9.1	11.4	0.65	1.7	0.29	32.9	2.60	8.1	1.22	6.0	1.74	1.0	0.55	0.4	0.00	2.4	-1.14	6.76
20	Kyrie Irving	PG,SG	BRO	5	36.0	0.515	10.4	20.2	1.16	0.889	3.2	3.6	1.13	4.8	3.22	28.8	2.08	6.0	0.47	5.2	1.36	0.4	-0.55	0.0	-0.82	2.6	-1.34	6.71
21	Anthony Edwards	SG,SF	MIN	8	38.9	0.494	10.6	21.5	0.66	0.741	5.0	6.8	-0.76	2.9	1.40	29.1	2.12	7.4	0.97	5.5	1.50	1.6	1.65	1.1	1.43	3.5	-2.27	6.70
22	Trae Young	PG	ATL	5	35.1	0.450	9.0	20.0	-0.54	0.875	8.4	9.6	2.63	3.2	1.70	29.6	2.18	3.4	-0.47	10.0	3.62	0.8	0.18	0.2	-0.41	3.6	-2.38	6.52
23	Gary Trent Jr	PG,SG	TOR	4	30.2	0.509	7.3	14.3	0.70	0.923	3.0	3.3	1.34	3.3	1.75	20.8	1.06	2.8	-0.68	1.5	-0.38	2.0	2.38	0.5	0.20	1.3	0.00	6.38
24	LaMelo Ball	PG,SG	CHA	8	35.1	0.411	8.9	21.6	-1.69	0.862	3.1	3.6	0.86	4.1	2.58	25.0	1.59	7.9	1.15	8.5	2.91	1.4	1.28	0.3	-0.20	3.5	-2.27	6.21
25	Nikola Vucevic	C	CHI	8	34.4	0.521	7.8	14.9	0.97	0.800	1.0	1.3	0.07	2.0	0.57	18.5	0.77	10.0	1.90	2.9	0.28	1.0	0.55	1.1	1.43	1.9	-0.62	5.92
26	Onyeka Okongwu	C	ATL	6	31.5	0.630	5.7	9.0	1.86	0.735	2.3	3.2	-0.41	0.0	-1.33	13.7	0.15	9.5	1.72	0.7	-0.75	0.5	-0.37	2.5	4.30	0.7	0.62	5.79
27	Buddy Hield	SG,SF	IND	7	30.2	0.532	7.1	13.4	1.06	1.000	0.1	0.1	0.09	4.9	3.27	19.3	0.87	5.1	0.14	2.6	0.14	0.9	0.37	0.1	-0.61	0.9	0.41	5.74
28	Landry Shamet	SG	PHX	4	33.7	0.435	7.5	17.3	-0.81	1.000	2.0	2.0	1.27	5.5	3.88	22.5	1.28	3.0	-0.61	4.0	0.80	0.5	-0.37	0.5	0.20	1.3	0.00	5.64
29	CJ McCollum	PG,SG	NOP	7	35.3	0.437	8.4	19.3	-0.85	0.845	3.9	4.6	0.85	4.9	3.27	25.6	1.67	5.3	0.22	7.0	2.21	1.1	0.73	0.6	0.41	4.1	-2.89	5.62
30	Kawhi Leonard	SG,SF	LAC	5	34.2	0.539	8.2	15.2	1.36	0.870	4.0	4.6	1.19	1.4	0.00	21.8	1.19	6.0	0.47	5.4	1.46	0.8	0.18	0.4	0.00	1.8	-0.52	5.32
31	Damian Lillard	PG	POR	5	38.8	0.400	8.4	21.0	-1.93	0.966	5.6	5.8	3.11	3.4	1.89	25.8	1.70	4.6	-0.04	7.2	2.30	0.6	-0.18	0.6	0.41	3.2	-1.96	5.29
32	Tyler Herro	PG,SG	MIA	6	36.3	0.434	8.2	18.8	-0.91	0.943	2.8	3.0	1.41	3.2	1.68	22.3	1.25	5.3	0.22	6.2	1.83	1.7	1.83	0.0	-0.82	2.5	-1.24	5.26
33	Jusuf Nurkic	C	POR	3	26.6	0.586	5.7	9.7	1.45	0.625	3.3	5.3	-2.39	2.3	0.88	17.0	0.57	9.3	1.65	4.3	0.94	1.3	1.10	1.7	2.66	3.0	-1.76	5.11
34	Bam Adebayo	C	MIA	5	35.9	0.580	9.4	16.2	2.31	0.778	5.6	7.2	-0.05	0.0	-1.33	24.4	1.52	9.6	1.76	3.2	0.42	1.2	0.92	0.8	0.82	2.6	-1.34	5.03
35	Kevin Porter Jr	PG	HOU	7	34.0	0.500	8.0	16.0	0.61	0.795	3.3	4.1	0.18	3.3	1.79	22.6	1.29	5.3	0.22	6.6	2.02	1.0	0.55	0.3	-0.20	2.7	-1.45	4.99
36	Julius Randle	PF	NYK	8	39.2	0.506	10.3	20.3	0.93	0.662	5.9	8.9	-3.02	3.5	1.99	29.9	2.22	12.5	2.80	4.5	1.03	0.5	-0.37	0.5	0.20	2.1	-0.83	4.97
37	Mitchell Robinson	C	NYK	8	30.1	0.742	3.3	4.4	1.53	0.627	1.9	3.0	-1.33	0.0	-1.33	8.4	-0.52	10.4	2.05	1.5	-0.38	1.3	1.10	1.8	2.86	0.4	0.93	4.92
38	Brook Lopez	C	MIL	6	31.5	0.620	7.3	11.8	2.29	0.723	2.2	3.0	-0.49	1.5	0.09	18.3	0.74	5.8	0.39	1.2	-0.52	1.0	0.55	1.8	2.86	2.3	-1.03	4.89
39 Jrue Holiday	PG,SG	MIL	4	35.7	0.423	5.5	13.0	-0.81	0.889	4.0	4.5	1.41	2.0	0.57	17.0	0.57	5.5	0.29	7.8	2.58	1.8	2.02	0.8	0.82	3.8	-2.58	4.87
40	Clint Capela	C	ATL	1	24.7	0.800	4.0	5.0	2.13	1.000	2.0	2.0	1.27	0.0	-1.33	10.0	-0.32	10.0	1.90	0.0	-1.08	1.0	0.55	2.0	3.27	3.0	-1.76	4.65
41	Jonas Valanciunas	C	NOP	7	28.3	0.484	6.3	13.0	0.21	0.934	2.1	2.3	1.02	1.1	-0.25	15.9	0.43	10.4	2.05	2.0	-0.14	0.7	0.00	1.0	1.23	1.4	-0.10	4.45
42	Devin Vassell	SG,SF	SAS	5	30.2	0.439	7.2	16.4	-0.68	0.727	1.6	2.2	-0.33	2.8	1.33	18.8	0.80	4.4	-0.11	4.4	0.99	2.2	2.75	0.6	0.41	2.0	-0.72	4.43
43	Myles Turner	C	IND	7	29.0	0.521	5.1	9.9	0.64	0.715	2.9	4.0	-0.75	1.3	-0.10	14.4	0.24	7.7	1.08	1.9	-0.19	0.9	0.37	1.9	3.07	1.4	-0.10	4.25
44	Jarrett Allen	C	CLE	6	33.7	0.634	5.5	8.7	1.84	0.732	3.2	4.3	-0.60	0.0	-1.33	14.2	0.22	10.2	1.97	1.7	-0.28	1.2	0.92	1.2	1.64	1.5	-0.21	4.17
45	Trey Murphy	SF,PF	NOP	6	27.7	0.652	5.0	7.7	1.80	0.906	3.2	3.5	1.27	2.7	1.20	15.8	0.42	3.7	-0.36	1.0	-0.61	0.8	0.18	0.0	-0.82	0.3	1.03	4.12
46	Zach LaVine	SG,SF	CHI	8	36.8	0.522	9.1	17.5	1.16	0.826	4.1	5.0	0.66	2.9	1.40	25.3	1.63	3.5	-0.43	4.8	1.17	0.6	-0.18	0.0	-0.82	1.8	-0.52	4.08
47	PJ Washington	PF,C	CHA	8	31.7	0.483	5.5	11.4	0.18	0.840	2.0	2.4	0.41	2.1	0.69	15.1	0.33	5.1	0.14	2.0	-0.14	0.8	0.18	1.5	2.25	1.3	0.00	4.05
48	Marcus Smart	PG,SG	BOS	5	32.9	0.432	3.8	8.8	-0.46	0.833	1.0	1.2	0.18	2.0	0.57	10.6	-0.24	4.2	-0.18	8.0	2.68	2.0	2.38	0.2	-0.41	1.8	-0.52	4.01
49	Mason Plumlee	C	CHA	8	26.7	0.714	5.6	7.9	2.49	0.647	2.8	4.3	-1.63	0.0	-1.33	14.0	0.19	8.0	1.18	2.8	0.23	0.9	0.37	1.5	2.25	1.1	0.21	3.97
50	Jerami Grant	PF	POR	5	38.5	0.550	8.8	16.0	1.65	0.714	3.0	4.2	-0.80	2.2	0.76	22.8	1.31	6.6	0.68	3.8	0.70	0.8	0.18	0.6	0.41	2.4	-1.14	3.76
51	Jaylen Brown	SG,SF	BOS	6	36.1	0.462	11.3	24.5	-0.26	0.766	3.8	5.0	-0.20	2.8	1.35	29.3	2.14	7.3	0.93	2.5	0.09	1.5	1.47	0.5	0.20	3.3	-2.07	3.67
52	Darius Garland	PG	CLE	5	34.5	0.595	8.8	14.8	2.38	0.800	4.0	5.0	0.29	2.6	1.14	24.2	1.49	2.0	-0.97	6.8	2.11	0.8	0.18	0.0	-0.82	3.4	-2.17	3.64
53	Josh Giddey	SG,SF	OKL	5	30.7	0.531	6.8	12.8	1.00	0.900	1.8	2.0	0.69	0.8	-0.57	16.2	0.47	8.4	1.33	5.0	1.27	1.0	0.55	0.6	0.41	2.8	-1.55	3.61
54	OG Anunoby	SG,SF	TOR	6	37.0	0.475	6.2	13.0	0.06	0.868	2.2	2.5	0.63	2.8	1.35	17.3	0.61	5.3	0.22	2.3	0.00	1.3	1.10	0.7	0.61	2.3	-1.03	3.56
55	Alperen Sengun	C	HOU	6	25.5	0.652	5.3	8.2	1.92	0.782	4.2	5.3	0.04	0.2	-1.16	15.0	0.32	8.3	1.29	4.2	0.89	0.7	0.00	0.5	0.20	1.3	0.00	3.50
56	Jamal Murray	PG,SG	DEN	5	37.7	0.408	5.8	14.2	-1.16	0.839	5.2	6.2	1.05	2.4	0.95	19.2	0.85	4.2	-0.18	8.2	2.77	1.2	0.92	0.2	-0.41	2.6	-1.34	3.45
57	Donte DiVincenzo	PG,SG	GSW	5	33.5	0.419	3.6	8.6	-0.60	1.000	0.8	0.8	0.51	2.4	0.95	10.4	-0.27	5.2	0.18	4.4	0.99	2.0	2.38	0.0	-0.82	1.2	0.10	3.43
58	Kyle Kuzma	PF	WAS	7	36.1	0.500	8.9	17.7	0.68	0.730	2.7	3.7	-0.53	2.9	1.38	23.3	1.38	7.7	1.08	4.1	0.85	1.0	0.55	0.3	-0.20	3.0	-1.76	3.42
59	De'Anthony Melton	PG,SG	PHI	7	31.8	0.429	4.3	10.0	-0.55	0.754	0.4	0.6	-0.04	2.7	1.24	11.7	-0.10	5.3	0.22	2.7	0.19	1.6	1.65	0.6	0.41	0.9	0.41	3.42
60	Fred VanVleet	PG	TOR	5	35.4	0.360	5.4	15.0	-2.17	1.000	2.4	2.4	1.52	3.0	1.51	16.2	0.47	4.2	-0.18	5.2	1.36	1.2	0.92	0.6	0.41	1.8	-0.52	3.33
61	Immanuel Quickley	PG,SG	NYK	8	32.1	0.433	6.4	14.8	-0.74	0.846	2.8	3.3	0.62	3.1	1.64	18.6	0.78	3.3	-0.50	4.8	1.17	1.0	0.55	0.3	-0.20	1.3	0.00	3.31
62	Giannis Antetokounmpo	PF,C	MIL	6	37.5	0.553	13.0	23.5	2.53	0.697	11.5	16.5	-3.95	0.5	-0.85	38.0	3.25	14.7	3.59	4.5	1.03	0.8	0.18	0.8	0.82	4.5	-3.31	3.29
63	Aaron Nesmith	SG,SF	IND	6	27.1	0.532	5.5	10.3	0.82	1.000	2.2	2.2	1.38	1.7	0.26	14.8	0.29	5.0	0.11	2.0	-0.14	0.5	-0.37	0.5	0.20	0.7	0.62	3.17
64	D'Angelo Russell	PG,SG	MIN	8	36.6	0.450	6.1	13.6	-0.38	0.968	3.6	3.8	2.03	2.4	0.93	18.3	0.74	3.5	-0.43	6.9	2.16	0.5	-0.37	0.3	-0.20	2.6	-1.34	3.14
65	Marcus Morris Sr.	PF,C	LAC	6	28.8	0.439	4.2	9.5	-0.40	0.915	1.8	2.0	0.78	2.7	1.20	12.8	0.04	4.3	-0.14	1.8	-0.23	0.5	-0.37	1.3	1.84	1.0	0.31	3.02
66	Moritz Wagner	PF,C	ORL	6	24.6	0.460	3.8	8.3	-0.13	0.918	3.7	4.0	1.59	1.2	-0.22	12.5	0.00	6.5	0.65	2.3	0.00	1.3	1.10	0.2	-0.41	1.0	0.31	2.89
67	Jakob Poeltl	C	SAS	7	24.9	0.733	4.7	6.4	2.18	0.748	2.1	2.9	-0.26	0.0	-1.33	11.6	-0.11	7.9	1.15	2.0	-0.14	0.4	-0.55	1.4	2.05	1.4	-0.10	2.88
68	Bradley Beal	SG	WAS	5	32.4	0.545	9.6	17.6	1.71	0.824	5.6	6.8	0.85	1.0	-0.38	25.8	1.70	3.0	-0.61	4.6	1.08	0.4	-0.55	0.6	0.41	2.6	-1.34	2.87
69	Donovan Mitchell	PG,SG	CLE	6	33.7	0.387	6.8	17.7	-1.94	0.828	4.8	5.8	0.82	3.0	1.51	21.5	1.15	3.5	-0.43	4.7	1.13	2.0	2.38	0.2	-0.41	2.7	-1.45	2.76
70	Daniel Gafford	C	WAS	7	22.8	0.825	4.7	5.7	2.62	0.668	1.4	2.1	-0.69	0.0	-1.33	10.9	-0.20	5.9	0.43	0.6	-0.80	0.4	-0.55	1.9	3.07	1.1	0.21	2.76
71	Al Horford	PF,C	BOS	6	30.6	0.388	3.2	8.2	-0.89	0.000	0.0	0.0	0.00	2.5	1.04	8.8	-0.47	6.5	0.65	2.2	-0.05	0.5	-0.37	1.2	1.64	0.2	1.14	2.68
72	Tobias Harris	SF,PF	PHI	7	34.6	0.556	6.4	11.6	1.27	1.000	1.4	1.4	0.91	1.7	0.29	16.0	0.45	5.7	0.36	2.1	-0.09	0.4	-0.55	0.4	0.00	1.3	0.00	2.63
73	Franz Wagner	SG,SF,PF	ORL	7	32.4	0.460	7.3	15.9	-0.23	0.889	3.4	3.9	1.21	1.9	0.44	19.9	0.94	3.7	-0.36	3.4	0.52	1.1	0.73	0.1	-0.61	1.3	0.00	2.63
74	Royce O'Neale	SG,SF	BRO	6	31.6	0.659	4.5	6.8	1.66	0.000	0.0	0.0	0.00	3.2	1.68	12.2	-0.04	2.2	-0.90	2.5	0.09	0.0	-1.28	1.0	1.23	1.2	0.10	2.54
75	Chris Paul	PG	PHX	7	31.8	0.467	6.0	12.9	-0.08	0.699	3.3	4.7	-1.11	2.0	0.57	17.3	0.61	3.1	-0.57	9.0	3.15	1.4	1.28	0.4	0.00	2.6	-1.34	2.51
76	Kentavious Caldwell-Pope	SG,SF	DEN	7	33.5	0.514	5.1	10.0	0.55	0.902	1.3	1.4	0.50	2.6	1.11	14.1	0.20	3.3	-0.50	2.6	0.14	1.3	1.10	0.1	-0.61	1.3	0.00	2.49
77	Klay Thompson	SG,SF	GSW	5	35.2	0.421	8.0	19.0	-1.23	0.929	2.6	2.8	1.20	3.8	2.27	22.4	1.26	5.8	0.39	3.2	0.42	0.2	-0.92	0.2	-0.41	1.8	-0.52	2.48
78	Nicolas Batum	SF,PF	LAC	5	22.5	0.455	3.0	6.6	-0.15	0.750	0.6	0.8	-0.07	2.8	1.33	9.4	-0.40	4.8	0.04	1.4	-0.42	0.8	0.18	1.2	1.64	1.0	0.31	2.45
79	Jaden McDaniels	SF,PF	MIN	8	33.3	0.519	5.1	9.9	0.61	0.847	1.4	1.6	0.31	1.1	-0.26	12.8	0.04	5.1	0.14	2.9	0.28	0.8	0.18	1.0	1.23	1.4	-0.10	2.44
80	Deandre Ayton	C	PHX	7	30.2	0.581	8.7	15.0	2.14	0.763	2.3	3.0	-0.14	0.4	-0.92	20.1	0.97	9.9	1.87	1.1	-0.56	0.6	-0.18	0.7	0.61	2.6	-1.34	2.44
81	Dejounte Murray	PG,SG	ATL	6	38.0	0.426	7.7	18.0	-1.05	0.833	2.5	3.0	0.46	1.5	0.09	19.3	0.87	5.2	0.18	6.3	1.88	1.5	1.47	0.0	-0.82	2.0	-0.72	2.36
82	Robert Williams	C	BOS	5	19.1	0.773	3.4	4.4	1.72	0.875	1.4	1.6	0.44	0.0	-1.33	8.2	-0.55	8.0	1.18	1.2	-0.52	0.4	-0.55	1.2	1.64	1.0	0.31	2.35
83	Naz Reid	C	MIN	8	24.7	0.554	5.8	10.4	1.12	0.613	1.0	1.6	-0.78	1.6	0.22	14.1	0.20	7.1	0.86	1.4	-0.42	0.8	0.18	1.1	1.43	1.8	-0.52	2.29
84	Patrick Beverley	PG,SG	LAL	7	29.3	0.541	3.7	6.9	0.61	1.000	0.9	0.9	0.55	1.9	0.44	10.1	-0.31	3.3	-0.50	3.0	0.33	1.0	0.55	0.6	0.41	1.1	0.21	2.28
85	Draymond Green	PF,C	GSW	7	31.2	0.420	3.0	7.1	-0.48	1.000	0.4	0.4	0.27	1.3	-0.10	7.7	-0.61	8.7	1.44	6.3	1.88	0.3	-0.73	0.9	1.02	1.7	-0.41	2.27
86	Ja Morant	PG	MEM	6	34.1	0.462	10.2	22.0	-0.24	0.804	6.2	7.7	0.54	1.5	0.09	28.0	1.98	3.8	-0.32	10.0	3.62	0.7	0.00	0.2	-0.41	4.2	-3.00	2.26
87	Kyle Lowry	PG	MIA	4	31.5	0.442	4.8	10.8	-0.41	1.000	0.3	0.3	0.16	2.0	0.57	11.8	-0.09	4.0	-0.25	5.3	1.41	1.0	0.55	0.3	-0.20	0.8	0.52	2.24
88	Aaron Gordon	SF,PF	DEN	5	32.5	0.600	7.2	12.0	2.01	0.613	3.8	6.2	-2.99	0.8	-0.57	19.0	0.83	8.2	1.26	2.2	-0.05	1.6	1.65	0.8	0.82	2.0	-0.72	2.24
89	De'Aaron Fox	PG	SAC	6	34.1	0.539	10.3	19.2	1.70	0.756	5.7	7.5	-0.52	1.3	-0.07	27.7	1.94	3.7	-0.36	6.3	1.88	0.3	-0.73	0.2	-0.41	2.5	-1.24	2.19
90	JaMychal Green	PF,C	GSW	1	17.4	0.714	5.0	7.0	2.21	0.750	3.0	4.0	-0.35	2.0	0.57	15.0	0.32	7.0	0.83	1.0	-0.61	0.0	-1.28	1.0	1.23	2.0	-0.72	2.18
91	Spencer Dinwiddie	PG,SG	DAL	7	38.7	0.469	5.3	11.3	-0.04	0.881	2.1	2.4	0.71	2.9	1.38	15.6	0.40	2.9	-0.65	4.7	1.13	0.4	-0.55	0.1	-0.61	1.0	0.31	2.07
92	Brandon Clarke	SF,PF	MEM	6	19.1	0.648	4.0	6.2	1.41	0.906	3.2	3.5	1.27	0.0	-1.33	11.2	-0.17	6.8	0.75	0.7	-0.75	1.0	0.55	0.3	-0.20	0.8	0.52	2.06
93	Thomas Bryant	C	LAL	8	28.5	0.644	5.9	9.1	2.05	0.685	1.6	2.4	-0.65	1.1	-0.26	14.5	0.26	9.5	1.72	1.5	-0.38	0.5	-0.37	0.3	-0.20	1.5	-0.21	1.97
94	Josh Hart	SG,SF	POR	5	36.6	0.605	4.6	7.6	1.32	0.778	2.8	3.6	-0.02	0.6	-0.76	12.6	0.01	9.6	1.76	4.8	1.17	0.6	-0.18	0.2	-0.41	2.2	-0.93	1.96
95	Mark Williams	C	CHA	4	17.5	0.696	4.0	5.8	1.67	0.727	2.0	2.8	-0.42	0.0	-1.33	10.0	-0.32	7.0	0.83	1.0	-0.61	1.3	1.10	1.0	1.23	1.5	-0.21	1.94
96	Kevin Huerter	SG,SF	SAC	6	28.7	0.542	6.5	12.0	1.10	0.750	1.5	2.0	-0.17	3.2	1.68	17.7	0.66	3.0	-0.61	1.0	-0.61	1.2	0.92	0.0	-0.82	1.5	-0.21	1.94
97	Rui Hachimura	SF,PF	WAS	5	25.7	0.607	6.8	11.2	1.98	0.882	3.0	3.4	1.00	1.0	-0.38	17.6	0.65	5.0	0.11	1.4	-0.42	0.2	-0.92	0.2	-0.41	1.0	0.31	1.93
98	Michael Porter Jr	SF,PF	DEN	5	30.3	0.478	6.4	13.4	0.11	0.643	1.8	2.8	-1.11	2.2	0.76	16.8	0.55	6.4	0.61	1.6	-0.33	1.0	0.55	0.8	0.82	1.4	-0.10	1.86
99	Deni Avdija	SF,PF	WAS	5	26.5	0.531	3.4	6.4	0.49	0.909	2.0	2.2	0.82	1.6	0.19	10.4	-0.27	6.0	0.47	2.6	0.14	0.4	-0.55	0.8	0.82	1.6	-0.31	1.80
100	Tre Jones	PG	SAS	7	29.1	0.512	6.0	11.7	0.63	0.765	1.9	2.4	-0.10	1.0	-0.38	14.9	0.31	4.9	0.07	5.9	1.69	1.1	0.73	0.1	-0.61	1.9	-0.62	1.72
101	Derrick White	PG,SG	BOS	6	31.1	0.447	3.5	7.8	-0.25	0.883	2.5	2.8	0.84	0.7	-0.69	10.2	-0.29	4.7	0.00	3.7	0.66	0.7	0.00	1.2	1.64	1.5	-0.21	1.69
102	Cole Anthony	PG	ORL	6	24.9	0.426	3.8	9.0	-0.54	1.000	2.5	2.5	1.59	1.3	-0.07	11.5	-0.13	4.5	-0.07	5.3	1.41	0.7	0.00	0.5	0.20	2.0	-0.72	1.67
103	Mo Bamba	C	ORL	6	18.7	0.518	2.5	4.8	0.28	0.746	0.5	0.7	-0.07	1.0	-0.38	6.5	-0.77	4.8	0.04	1.0	-0.61	0.3	-0.73	1.8	2.86	0.3	1.03	1.66
104	Victor Oladipo	SG,SF	MIA	5	28.4	0.333	3.2	9.6	-1.73	0.875	2.8	3.2	0.88	1.4	0.00	10.6	-0.24	2.8	-0.68	3.0	0.33	2.2	2.75	0.6	0.41	1.4	-0.10	1.61
105	Jalen Williams	SG,SF	OKL	6	29.9	0.508	5.3	10.5	0.49	0.833	2.5	3.0	0.46	1.2	-0.22	14.3	0.23	5.8	0.39	2.2	-0.05	0.8	0.18	0.7	0.61	1.8	-0.52	1.60
106	Alex Caruso	PG,SG	CHI	5	21.0	0.625	2.0	3.2	0.63	0.750	0.6	0.8	-0.07	1.2	-0.19	5.8	-0.85	3.4	-0.47	2.0	-0.14	2.0	2.38	0.6	0.41	1.4	-0.10	1.60
107	Torrey Craig	SF,PF	PHX	7	28.1	0.529	3.9	7.3	0.55	0.663	0.6	0.9	-0.29	2.0	0.57	10.3	-0.28	6.3	0.57	1.6	-0.33	1.0	0.55	0.3	-0.20	0.9	0.41	1.55
108	De'Andre Hunter	SF,PF	ATL	3	33.4	0.452	4.7	10.3	-0.26	0.752	1.0	1.3	-0.11	1.3	-0.07	11.7	-0.10	6.0	0.47	1.7	-0.28	0.7	0.00	0.7	0.61	0.3	1.03	1.29
109	Scottie Barnes	SF,PF	TOR	7	34.0	0.416	5.7	13.7	-0.98	0.911	1.4	1.6	0.59	0.3	-1.05	13.1	0.08	7.3	0.93	4.1	0.85	1.4	1.28	0.4	0.00	1.7	-0.41	1.29
110	Keldon Johnson	SF,PF	SAS	5	33.0	0.488	8.4	17.2	0.39	0.759	4.4	5.8	-0.36	2.2	0.76	23.4	1.39	3.4	-0.47	2.4	0.05	0.6	-0.18	0.4	0.00	1.6	-0.31	1.27
111	Kevin Love	PF,C	CLE	6	23.4	0.501	3.7	7.3	0.27	0.830	0.8	1.0	0.14	2.5	1.04	10.7	-0.23	7.8	1.11	2.0	-0.14	0.3	-0.73	0.5	0.20	1.7	-0.41	1.26
112	Monte Morris	PG	WAS	7	30.9	0.445	3.4	7.7	-0.27	0.823	2.0	2.4	0.30	1.0	-0.38	9.9	-0.33	3.3	-0.50	5.9	1.69	1.1	0.73	0.1	-0.61	0.7	0.62	1.25
113	Bogdan Bogdanovic	SG,SF	ATL	6	32.1	0.405	5.7	14.0	-1.20	0.752	1.0	1.3	-0.11	2.8	1.35	15.2	0.34	3.0	-0.61	2.7	0.19	0.8	0.18	0.5	0.20	0.5	0.83	1.18
114	Herbert Jones	SG,SF,PF	NOP	4	32.4	0.302	3.3	10.8	-2.37	0.769	2.5	3.3	-0.10	1.0	-0.38	10.0	-0.32	5.5	0.29	2.3	0.00	3.3	4.77	0.5	0.20	2.3	-1.03	1.06
