0,1,2
,GP,0
,Russell Westbrook,3
,LeBron James,3
,Myles Turner,2
,LaMarcus Aldridge,3
,Rudy Gobert,3
,Ja Morant,0
,Bojan Bogdanovic,3
,Terry Rozier,3
,Michael Porter Jr.,2
,Darius Garland,2
,Marcus Smart,3
,Buddy Hield,2
,James Wiseman,2


