1, 2, 3, 4, 5, 6, 7, 8, 9
Kyle Lowry,, NO,,, @SA,
James Harden,, OKC,,, @Por,,
Dillon Brooks,, SA,,, Atl,,
Aaron Gordon,, Mia,,, @Wsh, @Wsh
Karl-Anthony Towns,, Det,,, @Utah, @LAL
Chris Paul,, Dal,,, @Sac, @Sac
Tim Hardaway Jr.,, @Phx,, @LAL,,
Andre Drummond,, Cha,,, @Det, Phi
Eric Bledsoe,, @Tor,, @Mia,, SA
Goran Dragic,, @Orl,, NO,,
Joe Ingles,, @Por,,, Min,,
Daniel Theis,, Mil,, Bkn,, @Ind

