PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
171	Austin Reaves	SG,SF	LAL	14	27.6	0.495	2.8	5.6		0.30	0.894	2.4	2.6		1.00	1.1	-0.35	9.0	-0.43	3.3	-0.54	1.9	-0.40	0.4	-0.87	0.4	-0.21	1.0	0.54	-0.96
172	Mason Plumlee	C	CHA	17	26.9	0.617	3.6	5.8		1.54	0.597	2.2	3.7		-2.23	0.0	-1.50	9.4	-0.37	8.7	1.55	4.0	0.64	0.6	-0.44	0.6	0.21	1.9	-0.43	-1.02
173	Otto Porter Jr	SF,PF	TOR	8	18.3	0.501	1.9	3.8		0.26	1.000	1.0	1.0		0.73	0.8	-0.70	5.5	-0.92	2.4	-0.89	1.0	-0.84	1.4	1.31	0.0	-1.07	0.5	1.08	-1.03
174	Nah'Shon Hyland	PG,SG	DEN	11	21.5	0.388	4.7	12.2		-1.66	0.811	2.4	2.9		0.30	3.1	1.81	14.9	0.39	2.2	-0.97	3.7	0.49	0.6	-0.44	0.3	-0.43	2.0	-0.54	-1.04
175	Darius Bazley	SF,PF	OKL	11	16.7	0.421	2.5	5.8		-0.43	0.450	0.5	1.0		-1.10	0.6	-0.81	6.0	-0.85	4.8	0.04	1.5	-0.59	0.8	0.00	1.3	1.71	0.6	0.97	-1.07
176	Anthony Lamb	SF,PF	GSW	8	20.2	0.545	3.0	5.5		0.78	0.000	0.0	0.0		0.00	1.6	0.25	7.6	-0.62	3.5	-0.46	1.5	-0.59	1.0	0.44	0.0	-1.07	1.3	0.22	-1.08
177	Dean Wade	SF,PF	CLE	11	22.8	0.528	2.5	4.6		0.53	0.730	0.7	1.0		-0.17	1.6	0.26	7.3	-0.67	3.3	-0.54	1.0	-0.84	0.5	-0.65	0.4	-0.21	0.4	1.18	-1.12
178	Josh Giddey	SG,SF	OKL	13	30.0	0.462	6.5	14.2		-0.13	0.691	0.9	1.2		-0.37	1.0	-0.43	14.9	0.39	7.1	0.93	5.7	1.48	0.4	-0.87	0.5	0.00	3.5	-2.15	-1.15
179	Gary Harris	SG,SF	ORL	1	23.5	0.600	3.0	5.0		1.18	0.000	0.0	0.0		0.00	1.0	-0.43	7.0	-0.71	1.0	-1.43	1.0	-0.84	1.0	0.44	0.0	-1.07	0.0	1.61	-1.24
180	Ben Simmons	PG,SG,PF	BRO	11	27.1	0.535	2.8	5.3		0.65	0.524	1.0	1.9		-1.64	0.0	-1.50	6.6	-0.76	6.7	0.77	5.6	1.43	1.0	0.44	0.5	0.00	2.1	-0.65	-1.24
