R#	PLAYER	POS	TEAM	GP	MPG	FG%	FT%	3PM	PTS	TREB	AST	STL	BLK	TO
49	Myles Turner	PF,C	IND	70	29.8	0.39	-0.39	0.02	-0.08	0.82	-0.65	-0.17	3.91	0.13
50	Ja Morant	PG	MEM	68	33.1	0.57	0.26	-0.25	0.98	-0.25	3.06	0.51	-0.48	-2.39
51	Jrue Holiday	PG,SG	MIL	63	31.4	0.17	-0.27	0.33	0.67	-0.17	1.48	1.45	0.50	-1.52
52	Brandon Clarke	SF,PF	MEM	68	25.2	3.25	-0.06	-0.89	0.10	0.82	-0.46	-0.51	1.27	0.46
53	Jonas Valanciunas	C	MEM	70	27.2	2.76	-0.30	-1.12	0.22	2.27	-0.23	-1.14	1.18	-0.41
54	Collin Sexton	PG,SG	CLE	70	34.9	0.60	1.70	0.32	1.44	-0.48	0.72	0.53	-1.01	-1.35
55	CJ McCollum	PG,SG	POR	65	34.7	-0.14	0.15	1.42	1.35	-0.25	1.00	-0.17	0.12	-0.49
56	Tobias Harris	SF,PF	PHI	70	34.5	0.46	0.40	0.34	0.99	0.83	0.46	-0.44	0.19	0.15
57	Jaylen Brown	SG,SF	BOS	70	34.4	0.73	-0.55	1.00	1.19	0.76	-0.17	0.77	-0.29	-1.00
58	Derrick White 	PG,SG	SAS	67	28.1	0.24	1.07	-0.10	0.03	-0.38	0.97	0.22	1.15	-0.12
59	Dejounte Murray	PG,SG	SAS	67	28.3	0.17	0.43	-0.85	-0.16	0.67	1.17	2.39	-0.48	-0.77
60	Gordon Hayward	SG,SF	CHA	58	33.2	0.56	1.10	0.09	0.96	0.53	0.72	-0.46	-0.31	-0.35
61	Kemba Walker 	PG	BOS	48	30.7	-0.93	1.66	1.68	0.87	-0.48	0.84	-0.12	-0.34	-0.62
62	T.J. Warren	SF,PF	IND	60	32.5	0.88	0.66	0.02	0.81	-0.10	-0.28	0.99	-0.07	0.29
63	Thomas Bryant	C	WAS	60	27.5	3.06	-0.37	-0.83	0.04	0.95	-0.35	-0.97	1.32	0.43
64	Lonzo Ball	PG,SG	NOP	67	33.1	-1.39	-1.06	0.97	-0.21	0.62	2.60	1.57	0.22	-1.80
65	Buddy Hield	SG	SAC	70	29.6	-0.05	0.51	2.54	0.90	-0.17	0.23	-0.10	-0.82	-0.71
66	Mitchell Robinson	C	NYK	68	23.2	3.51	-2.13	-1.73	-0.56	1.02	-1.02	0.07	3.41	1.02
67	Malcolm Brogdon	PG,SG	IND	62	30.8	-0.47	1.91	0.09	0.42	0.05	2.56	-0.70	-0.79	-0.97
68	Al Horford	PF,C	OKL	62	30.2	0.41	0.17	-0.30	-0.17	1.00	0.86	-0.22	0.94	0.27
69	Norman Powell	SG,SF	TOR	55	27.8	1.04	0.97	0.81	0.39	-0.50	-0.36	0.68	-0.34	0.09
70	Wendell Carter Jr.	C	CHI	67	32.6	1.61	-0.52	-1.50	-0.07	2.13	-0.59	0.02	1.66	-0.30
71	Lauri Markkanen	PF,C	CHI	50	32.5	-0.75	1.10	1.01	0.67	1.00	-0.44	0.05	0.02	-0.35
72	Richaun Holmes	PF,C	SAC	67	25.3	3.01	0.04	-1.73	-0.36	1.00	-0.84	-0.22	1.51	0.56
73	Mikal Bridges	SG,SF	PHX	69	31.6	0.51	0.43	0.01	-0.39	-0.10	-0.21	1.84	0.46	0.05
74	Eric Bledsoe	PG,SG	NOP	62	29.0	0.51	0.49	-0.32	0.32	0.03	1.51	0.51	-0.29	-1.06
75	Clint Capela	C	ATL	59	29.7	3.14	-2.86	-1.73	-0.22	2.42	-0.57	-0.15	2.47	-0.11
